DateTime,Entries,UniqueIPs
1528958937,3331,3331
1528960850,3319,3319
1528962783,3303,3303
1528964690,3299,3299
1528966609,3270,3270
1528968529,3249,3249
1528970476,3214,3214
1528972332,3194,3194
1528974297,3180,3180
1528976178,3152,3152
1528978108,1513,1513
1528980014,1505,1505
1528981933,2208,2208
1528983870,2203,2203
1528985787,2189,2189
1528987693,2191,2191
1528989617,2193,2193
1528991542,2187,2187
1528993458,2177,2177
1528995378,2166,2166
1528997298,2174,2174
1528999222,2168,2168
1529001145,2167,2167
1529003059,2159,2159
1529004973,2165,2165
1529517619,1862,1862
1529590827,2137,2137
1529592759,2151,2151
1529594657,2138,2138
1529596578,2117,2117
1529598492,2092,2092
1529600441,2082,2082
1529602353,2073,2073
1529604267,2075,2075
1529606194,2067,2067
1529608112,2035,2035
1529610024,2022,2022
1529611950,2027,2027
1529613870,2019,2019
1529615794,2010,2010
1529617700,2000,2000
1529619628,2004,2004
1529622281,2704,2704
1529624189,2693,2693
1529626108,2668,2668
1529628015,2635,2635
1529629945,2624,2624
1529631861,2621,2621
1529633789,2609,2609
1529635696,2601,2601
1529637622,2629,2629
1529639547,2601,2601
1529641459,2582,2582
1529643381,2564,2564
1529645294,2547,2547
1529647233,2548,2548
1529649149,2543,2543
1529651073,2512,2512
1529652970,2486,2486
1529654908,2468,2468
1529656812,2460,2460
1529658987,2455,2455
1529661140,2446,2446
1529663063,1111,1111
1529664972,1110,1110
1529666899,1718,1718
1529668859,1720,1720
1529670752,1716,1716
1529672659,1733,1733
1529674583,1741,1741
1529676525,1754,1754
1529678424,1768,1768
1529680353,1756,1756
1529682255,1734,1734
1529684186,1743,1743
1529686102,1734,1734
1529688017,1726,1726
1529689942,1725,1725
1529691857,1704,1704
1529693780,1701,1701
1529695695,1683,1683
1529697650,1661,1661
1529699544,1653,1653
1529701473,1650,1650
1529703374,1641,1641
1529705297,1634,1634
1529707826,1609,1609
1529709855,2175,2175
1529711775,2160,2160
1529713688,2148,2148
1529715627,2147,2147
1529717542,2143,2143
1529719465,2150,2150
1529721379,2150,2150
1529723296,2136,2136
1529725215,2116,2116
1529727146,2104,2104
1529729052,2096,2096
1529730993,2081,2081
1529732894,2079,2079
1529734840,2067,2067
1529736742,2070,2070
1529738652,2049,2049
1529740577,2031,2031
1529742489,2019,2019
1529744419,2014,2014
1529746342,2006,2006
1529748280,1095,1095
1529750178,1098,1098
1529752106,1533,1533
1529754014,1533,1533
1529755949,1533,1533
1529757853,1546,1546
1529759784,1543,1543
1529761699,1537,1537
1529763632,1531,1531
1529765538,1532,1532
1529767452,1521,1521
1529769377,1501,1501
1529771290,1487,1487
1529773224,1520,1520
1529775141,1502,1502
1529777071,1483,1483
1529778978,1460,1460
1529780909,1443,1443
1529782811,1430,1430
1529784744,1418,1418
1529786649,1394,1394
1529788582,1370,1370
1529790489,1349,1349
1529792407,1329,1329
1529795080,1722,1722
1529796977,1702,1702
1529798918,1684,1684
1529800815,1667,1667
1529802753,1637,1637
1529804657,1619,1619
1529806582,1603,1603
1529808497,1600,1600
1529810415,1584,1584
1529812337,1568,1568
1529814264,1554,1554
1529816175,1540,1540
1529818101,1539,1539
1529820035,1511,1511
1529821950,1511,1511
1529823867,1497,1497
1529825779,1472,1472
1529827698,1459,1459
1529829629,1438,1438
1529831538,1408,1408
1529833461,1387,1387
1529835381,345,345
1529837294,310,310
1529839213,783,783
1529841143,767,767
1529843060,749,749
1529844980,726,726
1529846894,699,699
1529848899,675,675
1529850744,661,661
1529852907,646,646
1529854825,619,619
1529856750,598,598
1529858664,585,585
1529860582,565,565
1529862493,552,552
1529864420,533,533
1529866334,507,507
1529868260,489,489
1529870178,467,467
1529872125,441,441
1529874043,411,411
1529875948,382,382
1529877866,352,352
1529880419,310,310
1529882415,783,783
1529884331,767,767
1529886505,746,746
1529888427,726,726
1529890337,699,699
1529892269,677,677
1529894180,661,661
1529896108,648,648
1529898020,621,621
1529899948,600,600
1529901860,587,587
1529903781,567,567
1529905698,554,554
1529907632,536,536
1529909539,511,511
1529911548,493,493
1529913374,471,471
1529915291,445,445
1529917231,418,418
1529919146,386,386
1529921060,5,5
1529934750,411,411
1529936650,810,810
1529938568,1383,1383
1529940496,1778,1778
1529942419,2053,2053
1529944329,2073,2073
1529946264,2089,2089
1529948235,2108,2108
1529950095,2121,2121
1529952011,2138,2138
1529953936,2146,2146
1529955858,2158,2158
1529958996,2175,2175
1529960899,2186,2186
1529962814,2197,2197
1529964743,2211,2211
1529966882,2222,2222
1529968818,2236,2236
1529970730,2248,2248
1529972659,2264,2264
1529974569,2276,2276
1529976505,2291,2291
1529978418,2355,2355
1529980335,2363,2363
1529982270,2376,2376
1529984176,2385,2385
1529986111,2406,2406
1529988013,2424,2424
1529989938,2440,2440
1529991859,2449,2449
1529993776,2490,2490
1529995695,2518,2518
1529997639,2543,2543
1529999550,2562,2562
1530001696,2600,2600
1530003638,2644,2644
1530005536,2686,2686
1530007473,2727,2727
1530009373,2747,2747
1530011296,2764,2764
1530013224,2785,2785
1530015141,2802,2802
1530017053,2831,2831
1530018973,2857,2857
1530020892,2880,2880
1530022826,2914,2914
1530024731,2943,2943
1530026655,2960,2960
1530028571,2985,2985
1530030491,2993,2993
1530032421,3029,3029
1530034347,3054,3054
1530036267,3062,3062
1530038171,3083,3083
1530040105,3114,3114
1530042012,3144,3144
1530043934,3158,3158
1530045859,3191,3191
1530047783,3216,3216
1530049696,3242,3242
1530051614,3265,3265
1530053531,3296,3296
1530055460,3394,3394
1530057368,3424,3424
1530059293,3445,3445
1530061464,3479,3479
1530063372,3510,3510
1530065307,3544,3544
1530067218,3567,3567
1530069136,3597,3597
1530071066,3612,3612
1530072973,3624,3624
1530074905,3641,3641
1530076815,3653,3653
1530078737,3672,3672
1530080661,3683,3683
1530082574,3705,3705
1530084497,3725,3725
1530086459,3756,3756
1530088349,3777,3777
1530090264,3802,3802
1530092173,3829,3829
1530094119,1322,1322
1530096012,1336,1336
1530097966,1930,1930
1530099854,1949,1949
1530101777,1967,1967
1530103705,2000,2000
1530105611,2030,2030
1530107533,2049,2049
1530109463,2091,2091
1530111367,2092,2092
1530113538,2104,2104
1530115462,2111,2111
1530117383,2127,2127
1530119315,2146,2146
1530121215,2166,2166
1530123149,2148,2148
1530125300,2152,2152
1530127213,2147,2147
1530129147,2148,2148
1530131296,2150,2150
1530133237,2139,2139
1530135146,2116,2116
1530137066,2108,2108
1530139427,2109,2109
1530141374,2618,2618
1530143293,2616,2616
1530145216,2619,2619
1530147131,2642,2642
1530149059,2644,2644
1530150974,2654,2654
1530152897,2660,2660
1530154822,2657,2657
1530156732,2680,2680
1530158662,2695,2695
1530160569,2711,2711
1530162502,2750,2750
1530164411,2782,2782
1530166334,2795,2795
1530168261,2797,2797
1530170173,2820,2820
1530172099,2879,2879
1530174008,2877,2877
1530175935,2876,2876
1530177855,2864,2864
1530179781,2866,2866
1530181688,1750,1750
1530183862,1726,1726
1530185780,2330,2330
1530187718,2324,2324
1530189626,2338,2338
1530191545,2345,2345
1530193453,2359,2359
1530195382,2341,2341
1530197549,2331,2331
1530199458,2324,2324
1530202336,2359,2359
1530204259,2350,2350
1530206180,2366,2366
1530208091,2389,2389
1530210013,2411,2411
1530212173,2425,2425
1530214090,2426,2426
1530216035,2436,2436
1530217938,2447,2447
1530219853,2471,2471
1530221779,2501,2501
1530223715,2515,2515
1530225900,2525,2525
1530227771,3057,3057
1530230292,3066,3066
1530232374,3074,3074
1530234390,3058,3058
1530237038,3080,3080
1530239430,3079,3079
1530241871,3089,3089
1530243747,3099,3099
1530245772,3114,3114
1530247583,3124,3124
1530249610,3145,3145
1530251534,3159,3159
1530253452,3204,3204
1530255365,3228,3228
1530257545,3249,3249
1530259455,3278,3278
1530261622,3307,3307
1530263538,3322,3322
1530265454,3346,3346
1530267367,1853,1853
1530269540,1870,1870
1530271458,2675,2675
1530273390,2703,2703
1530275292,2695,2695
1530277232,2709,2709
1530279141,2729,2729
1530281069,2739,2739
1530282970,2778,2778
1530284907,2801,2801
1530286841,2787,2787
1530288744,2792,2792
1530290655,2791,2791
1530292579,2781,2781
1530294494,2773,2773
1530296776,2755,2755
1530299317,2710,2710
1530301221,2686,2686
1530303130,2657,2657
1530305054,2669,2669
1530306980,2657,2657
1530308930,2681,2681
1530310809,2657,2657
1530312729,2654,2654
1530314651,3414,3414
1530316575,3413,3413
1530318489,3415,3415
1530320434,3410,3410
1530322342,3406,3406
1530324258,3402,3402
1530326200,3392,3392
1530328110,3398,3398
1530330013,3368,3368
1530331949,3348,3348
1530333857,3319,3319
1530335779,3287,3287
1530337703,3268,3268
1530339642,3281,3281
1530341550,3257,3257
1530343455,3226,3226
1530345374,3201,3201
1530347301,3185,3185
1530349235,3170,3170
1530351136,3158,3158
1530353067,1494,1494
1530354973,1455,1455
1530357139,2321,2321
1530359051,2317,2317
1530360975,2297,2297
1530362888,2297,2297
1530364815,2292,2292
1530366729,2268,2268
1530368677,2257,2257
1530370569,2239,2239
1530372492,2226,2226
1530374449,2211,2211
1530376335,2208,2208
1530378258,2186,2186
1530380179,2182,2182
1530382094,2170,2170
1530384011,2160,2160
1530385941,2143,2143
1530387857,2145,2145
1530389777,2153,2153
1530391717,2134,2134
1530393611,2114,2114
1530395528,2093,2093
1530397573,2064,2064
1530399507,2048,2048
1530401677,2880,2880
1530403813,2870,2870
1530405761,2867,2867
1530407681,2862,2862
1530409698,2827,2827
1530411636,2811,2811
1530413531,2801,2801
1530415450,2807,2807
1530417369,2802,2802
