DateTime,Entries,UniqueIPs
1530071102,8312,8312
1530072002,8291,8291
1530072901,8350,8350
1530073802,8443,8443
1530074702,8526,8526
1530075602,8553,8553
1530076502,8632,8632
1530077402,8725,8725
1530078301,8777,8777
1530079202,8901,8901
1530080101,9002,9002
1530081002,9144,9144
1530081902,9151,9151
1530082802,9168,9168
1530083702,9245,9245
1530084602,9297,9297
1530085501,9366,9366
1530086402,9522,9522
1530087302,9538,9538
1530088201,9582,9582
1530089102,9588,9588
1530090002,9680,9680
1530090902,9771,9771
1530091802,9871,9871
1530092701,9899,9899
1530093601,9933,9933
1530094502,10015,10015
1530095402,10078,10078
1530096302,10150,10150
1530097202,10186,10186
1530098102,10292,10292
1530099002,10257,10257
1530099902,10225,10225
1530100802,10380,10380
1530101702,10418,10418
1530102602,10456,10456
1530103502,10410,10410
1530104402,10420,10420
1530105303,10456,10456
1530106202,10541,10541
1530107102,10745,10745
1530108003,10908,10908
1530108902,11010,11010
1530109801,11215,11215
1530110702,11287,11287
1530111603,11466,11466
1530112503,11393,11393
1530113402,11488,11488
1530114303,11611,11611
1530115202,11649,11649
1530116102,11746,11746
1530117002,11774,11774
1530117903,11813,11813
1530118803,11799,11799
1530119702,11812,11812
1530120602,11816,11816
1530121503,11876,11876
1530122402,11898,11898
1530123302,11904,11904
1530124202,11892,11892
1530125102,11878,11878
1530126002,11906,11906
1530126902,11931,11931
1530127802,11939,11939
1530128703,11928,11928
1530129602,11815,11815
1530130502,11753,11753
1530131402,11787,11787
1530132303,11668,11668
1530133202,11564,11564
1530134102,11476,11476
1530135002,11302,11302
1530135902,11125,11125
1530136803,11026,11026
1530137701,10885,10885
1530138602,10747,10747
1530139503,10615,10615
1530140402,10414,10414
1530141302,10291,10291
1530142202,10150,10150
1530143101,10088,10088
1530144002,9992,9992
1530144902,9825,9825
1530145802,9722,9722
1530146702,9640,9640
1530147602,9580,9580
1530148502,9531,9531
1530149401,9478,9478
1530150302,9361,9361
1530151202,9129,9129
1530152102,8945,8945
1530153001,8806,8806
1530153902,8543,8543
1530154801,8465,8465
1530155702,8279,8279
1530156602,8241,8241
1530157502,8144,8144
1530158402,8081,8081
1530159302,8053,8053
1530160201,7956,7956
1530161101,7931,7931
1530162001,7922,7922
1530162902,7888,7888
1530163802,7872,7872
1530164701,7788,7788
1530165602,7725,7725
1530166501,7667,7667
1530167402,7683,7683
1530168301,7669,7669
1530169201,7617,7617
1530170102,7597,7597
1530171002,7607,7607
1530171902,7554,7554
1530172802,7612,7612
1530173702,7708,7708
1530174602,7784,7784
1530175502,7858,7858
1530176403,8014,8014
1530177303,8162,8162
1530178203,8337,8337
1530179103,8518,8518
1530180002,8656,8656
1530180903,8746,8746
1530181803,8932,8932
1530182703,9055,9055
1530183603,9215,9215
1530184503,9271,9271
1530185403,9348,9348
1530186303,9370,9370
1530187203,9457,9457
1530188103,9531,9531
1530189003,9602,9602
1530189903,9757,9757
1530190803,9826,9826
1530191703,9868,9868
1530192604,9919,9919
1530193503,10001,10001
1530194403,10110,10110
1530195303,10037,10037
1530196204,9915,9915
1530197103,9742,9742
1530198004,9582,9582
1530198903,9442,9442
1530199803,9311,9311
1530200703,9134,9134
1530201603,8971,8971
1530202503,8828,8828
1530203403,8681,8681
1530204303,8523,8523
1530205203,8374,8374
1530206103,8205,8205
1530207003,8037,8037
1530207902,7932,7932
1530208803,10717,10717
1530209703,10843,10843
1530210603,10853,10853
1530211504,10785,10785
1530212403,10671,10671
1530213303,10572,10572
1530214204,10421,10421
1530215103,10270,10270
1530216002,10089,10089
1530216903,9863,9863
1530217803,9619,9619
1530218703,9387,9387
1530219602,9150,9150
1530220503,8893,8893
1530221402,8651,8651
1530222302,8386,8386
1530223202,8144,8144
1530224102,7879,7879
1530225002,7655,7655
1530225901,7410,7410
1530226802,7200,7200
1530227701,6957,6957
