DateTime,Entries,UniqueIPs
1528502435,1783,1810
1528506637,1782,1809
1528512036,1791,1817
1528517436,1787,1812
1528522836,1783,1809
1528528236,1791,1818
1528533638,1832,1859
1528539636,1854,1880
1528545036,1837,1864
1528549837,1855,1882
1528555837,1847,1874
1528561237,1856,1883
1528566037,1862,1890
1528569634,1874,1903
1528575037,1860,1888
1528579837,1831,1859
1528587033,1839,1867
1528591236,1823,1851
1528597237,1805,1832
1528602036,1788,1815
1528606836,1788,1813
1528614634,1770,1796
1528617636,1722,1748
1528621837,1678,1704
1528627237,1664,1689
1528632637,1649,1674
1528638036,1654,1679
1528642837,1639,1663
1528646434,1641,1665
1528649437,1637,1663
1528654238,1636,1662
1528659037,1654,1680
1528663237,1671,1697
1528666834,1712,1739
1528672236,1712,1739
1528677636,1749,1777
1528683037,1757,1784
1528689036,1766,1792
1528694437,1759,1784
1528699236,1771,1796
1528704638,1774,1799
1528709436,1760,1787
1528713036,1764,1791
1528716636,1748,1774
1528720837,1723,1749
1528724433,1729,1755
1528729236,1715,1741
1528732235,1705,1731
1528739433,1704,1730
1528743636,1691,1715
1528747234,1695,1719
1528750837,1677,1701
1528754434,1645,1670
1528762235,1642,1667
1528767037,1632,1657
1528770633,1645,1670
1528774236,1627,1652
1528777234,1625,1650
1528784434,1634,1659
1528789236,1626,1652
1528794037,1638,1664
1528798237,1643,1669
1528803037,1649,1675
1528806634,1667,1693
1528810237,1678,1704
1528813835,1664,1690
1528816836,1694,1720
1528820434,1717,1743
1528825237,1706,1733
1528828834,1723,1750
1528831836,1742,1769
1528836037,1712,1738
1528840837,1688,1712
1528844435,1699,1723
1528848037,1704,1728
1528851635,1686,1707
1528856437,1658,1679
1528860636,1668,1689
1528864234,1678,1700
1528867836,1663,1684
1528871435,1661,1682
1528875036,1673,1694
1528878634,1633,1652
1528882236,1641,1660
1528885837,1622,1641
1528889437,1606,1624
1528893034,1597,1615
1528896036,1543,1561
1528900237,1544,1565
1528903834,1563,1584
1528907437,1538,1559
1528914635,1543,1564
1528917637,1526,1547
1528921236,1539,1560
1528925436,1545,1568
1528929035,1566,1589
1528932636,1575,1598
1528936234,1609,1632
1528940437,1626,1651
1528944036,1655,1680
1528949437,1656,1681
1528954236,1675,1699
1528957834,1699,1723
1528962037,1680,1705
1528966837,1667,1691
1528969834,1681,1705
1528974037,1683,1707
1528977634,1691,1715
1528984834,1662,1685
1528987836,1665,1688
1528991435,1659,1682
1528995639,1668,1691
1528999234,1677,1701
1529002836,1683,1707
1529006435,1672,1696
1529010037,1658,1682
1529014237,1622,1643
1529019635,1614,1635
1529024437,1607,1628
1529028636,1563,1585
1529032234,1579,1601
1529037037,1578,1600
1529040635,1591,1613
1529044236,1570,1592
1529047834,1578,1600
1529051437,1582,1605
1529055034,1571,1594
1529058638,1555,1578
1529061633,1570,1596
1529065236,1567,1593
1529068834,1590,1616
1529073038,1605,1631
1529076634,1612,1638
1529079636,1624,1649
1529083838,1646,1672
1529087435,1681,1708
1529091037,1709,1736
1529094635,1725,1752
1529101834,1743,1770
1529105437,1742,1770
1529108434,1727,1755
1529112642,1714,1743
1529119835,1686,1715
1529123438,1693,1722
1529130635,1695,1723
1529134837,1652,1679
1529139637,1647,1674
1529143234,1655,1682
1529146836,1637,1664
1529150434,1617,1644
1529154037,1600,1626
1529157636,1584,1608
1529161237,1598,1622
1529164834,1584,1608
1529168437,1565,1590
1529172035,1609,1634
1529176236,1583,1608
1529181637,1577,1601
1529186437,1591,1615
1529190035,1595,1619
1529193636,1596,1620
1529197234,1614,1639
1529201438,1628,1653
1529206236,1634,1659
1529209834,1642,1667
1529213436,1655,1681
1529217034,1678,1704
1529220636,1679,1704
1529224234,1723,1748
1529227836,1728,1754
1529230835,1714,1739
1529234437,1719,1746
1529238034,1718,1745
1529242237,1702,1729
1529245834,1712,1739
1529249436,1710,1737
1529252435,1718,1746
1529256637,1679,1708
1529260235,1688,1717
1529263236,1691,1720
1529266836,1684,1713
1529270437,1671,1699
1529274035,1679,1707
1529277637,1648,1676
1529281836,1586,1615
1529285434,1598,1627
1529289036,1615,1644
1529292033,1579,1608
1529295636,1563,1592
1529299836,1516,1545
1529303434,1530,1559
1529306437,1490,1518
1529310034,1502,1530
1529313636,1504,1532
1529320834,1499,1526
1529328034,1506,1532
1529332237,1499,1525
1529335835,1520,1547
1529338838,1527,1554
1529343037,1552,1579
1529346635,1606,1633
1529350836,1614,1640
1529355036,1647,1673
1529362235,1710,1737
1529365836,1715,1742
1529370036,1702,1729
1529373634,1713,1740
1529377238,1717,1745
1529380235,1715,1743
1529383837,1693,1720
1529387435,1702,1729
1529394634,1678,1703
1529398237,1676,1701
1529402437,1665,1690
1529406037,1676,1701
1529409037,1660,1684
1529416234,1658,1682
1529419837,1670,1694
1529423435,1633,1656
1529427036,1626,1649
1529431237,1570,1593
1529434834,1586,1610
1529438439,1613,1637
1529442035,1582,1606
1529445637,1542,1566
1529449235,1542,1564
1529452236,1539,1561
1529456437,1563,1585
1529460035,1564,1586
1529463036,1571,1594
1529467236,1559,1581
1529470834,1570,1592
1529473836,1568,1590
1529477434,1587,1609
1529481637,1595,1617
1529485234,1617,1639
1529488837,1653,1675
1529491834,1676,1698
1529496036,1699,1721
1529499634,1716,1738
1529503236,1704,1726
1529506834,1698,1720
1529509836,1704,1725
1529512834,1700,1721
1529517637,1714,1735
1529521234,1690,1710
1529524837,1678,1698
1529528435,1687,1706
1529532636,1672,1691
1529536836,1677,1696
1529540434,1661,1680
1529544037,1672,1691
1529551235,1624,1643
1529554835,1630,1649
1529562037,1543,1563
1529565636,1519,1539
1529572835,1484,1504
1529576437,1482,1502
1529580036,1480,1500
1529583636,1485,1505
1529587837,1475,1496
1529591434,1482,1503
1529595037,1475,1496
1529598034,1474,1495
1529602237,1468,1489
1529605835,1491,1512
1529609436,1492,1513
1529612434,1523,1544
1529616036,1550,1571
1529620237,1581,1605
1529623834,1622,1648
1529627436,1660,1686
1529631035,1674,1699
1529634636,1692,1717
1529638838,1671,1697
1529643636,1686,1712
1529647234,1699,1725
1529650837,1690,1716
1529654434,1666,1691
1529658036,1671,1696
1529661635,1667,1692
1529665236,1658,1683
1529668234,1650,1675
1529672437,1635,1660
1529676035,1639,1664
1529679037,1629,1654
1529682634,1624,1649
1529686837,1623,1647
1529690435,1630,1654
1529694037,1590,1614
1529697634,1582,1607
1529700636,1550,1575
1529704837,1526,1551
1529708434,1547,1572
1529711435,1520,1546
1529715636,1515,1542
1529719235,1531,1558
1529722836,1528,1555
1529725833,1534,1561
1529729436,1530,1557
1529733033,1544,1571
1529736636,1532,1559
1529740235,1541,1568
1529744436,1556,1583
1529748034,1568,1595
1529751036,1591,1617
1529755237,1634,1660
1529758834,1671,1697
1529762436,1692,1718
1529766034,1702,1728
1529769036,1687,1714
1529773237,1717,1744
1529776834,1719,1746
1529780437,1741,1769
1529783434,1735,1765
1529788237,1725,1754
1529793037,1706,1735
1529796634,1714,1743
1529799635,1711,1740
1529803234,1717,1746
1529807436,1672,1701
1529811034,1673,1702
1529814036,1671,1699
1529821234,1660,1687
1529824835,1637,1664
1529829636,1608,1634
1529832633,1614,1640
1529835636,1562,1584
1529843434,1553,1575
1529847038,1513,1534
1529850635,1511,1532
1529854236,1519,1540
1529857233,1517,1538
1529865035,1518,1539
1529868038,1520,1541
1529871635,1522,1544
1529875237,1546,1568
1529879437,1572,1594
1529883636,1634,1657
1529887836,1671,1694
1529892637,1713,1737
1529896838,1718,1741
1529901635,1730,1751
1529907036,1748,1769
1529911836,1753,1774
1529915433,1762,1783
1529918436,1760,1781
1529925634,1726,1747
1529929835,1724,1745
1529933434,1731,1753
1529936436,1717,1739
1529940035,1714,1736
1529944236,1673,1695
1529947835,1685,1707
1529950836,1686,1708
1529954433,1677,1699
1529958637,1632,1655
1529962234,1615,1638
1529969433,1580,1601
1529973637,1559,1579
1529977836,1555,1576
1529985034,1550,1571
1529988636,1519,1540
1529992234,1515,1536
1529996435,1507,1529
1530000034,1514,1536
1530003636,1527,1549
1530007234,1531,1552
1530010836,1548,1569
1530013833,1551,1573
1530017435,1580,1604
1530024634,1630,1654
1530031833,1671,1695
1530035436,1692,1716
1530039034,1698,1722
1530043237,1680,1706
1530046834,1691,1717
1530049835,1650,1676
1530053435,1655,1681
1530057035,1641,1667
1530060633,1646,1673
1530064235,1636,1663
1530067833,1613,1640
1530071436,1620,1647
1530075033,1608,1635
1530078635,1619,1646
1530082836,1579,1606
1530086433,1587,1614
1530089435,1575,1601
1530093636,1519,1544
1530097234,1460,1485
1530100835,1490,1515
1530104434,1412,1433
1530107435,1426,1447
1530111636,1402,1423
1530115234,1412,1433
1530118236,1411,1431
1530125434,1413,1433
1530129036,1425,1445
1530132635,1433,1453
1530139834,1440,1460
1530143435,1462,1482
1530150633,1509,1531
1530154235,1532,1554
1530157833,1563,1585
1530162035,1577,1599
1530165634,1596,1618
1530169236,1618,1640
1530172833,1602,1623
1530175836,1596,1617
1530179434,1606,1627
1530183035,1616,1637
1530190234,1581,1603
1530193836,1576,1598
1530197433,1571,1593
1530201035,1575,1598
1530204633,1564,1586
1530208236,1562,1584
1530212436,1563,1585
1530216034,1587,1609
1530220236,1541,1563
1530225635,1541,1562
1530228633,1549,1570
1530232235,1489,1509
1530235233,1501,1521
1530238834,1491,1512
1530242434,1487,1508
1530246035,1482,1503
1530249633,1494,1515
1530257434,1471,1491
1530261035,1474,1493
1530264634,1472,1492
1530268235,1473,1493
1530271834,1481,1501
1530274835,1492,1512
1530278434,1514,1534
1530282035,1556,1577
1530285634,1578,1599
1530289235,1613,1635
1530292835,1627,1649
1530297037,1645,1667
1530300634,1683,1706
1530304236,1688,1710
1530307834,1711,1734
1530312037,1691,1714
1530317436,1675,1697
1530319833,1684,1706
1530324036,1664,1686
1530327633,1669,1691
1530331235,1656,1678
1530334833,1647,1669
1530337836,1630,1652
1530342037,1627,1649
1530345634,1633,1655
1530348635,1617,1640
1530352836,1571,1594
1530356435,1576,1599
1530360036,1562,1585
1530363633,1545,1568
1530366635,1501,1524
1530370234,1496,1519
1530373836,1496,1519
