DateTime,AddedIPs,RemovedIPs
1527079236,0,3
1527088235,0,6
1527093637,0,5
1527100835,0,5
1527106236,1,6
1527111638,1,4
1527115234,0,4
1527120636,0,5
1527124232,1,0
1527130235,1,8
1527135038,0,9
1527139835,0,4
1527144036,1,2
1527147634,1,0
1527153636,1,3
1527158435,0,13
1527163836,0,6
1527169836,0,15
1527175235,1,13
1527183034,2,8
1527186636,2,0
1527193834,2,6
1527197437,0,8
1527201034,0,7
1527208233,0,3
1527212436,2,6
1527216636,0,2
1527221436,0,2
1527227435,1,9
1527232235,0,8
1527238236,0,6
1527243036,2,4
1527248437,0,8
1527253836,1,5
1527259836,1,5
1527267634,0,5
1527271837,0,4
1527277236,4,3
1527283836,1,4
1527288036,0,5
1527291033,1,0
1527295236,2,2
1527298832,0,3
1527304835,3,1
1527309638,0,1
1527315635,1,2
1527319836,1,1
1527324035,0,0
1527327633,0,6
1528315234,308,636
1528318837,1,4
1528323036,0,0
1528327836,0,4
1528332036,1,1
1528337436,0,3
1528342836,0,2
1528348236,2,1
1528353036,0,3
1528357236,0,1
1528363236,1,0
1528367440,1,13
1528371637,1,12
1528377036,1,8
1528382438,0,5
1528389036,2,2
1528396234,0,3
1528403434,3,10
1528411234,3,2
1528414837,0,3
1528418434,2,0
1528425635,0,8
1528436438,1,0
1528447238,0,1
1528452636,1,4
1528458636,2,2
1528462837,1,5
1528467036,1,1
1528470634,1,0
1528474237,1,0
1528477235,0,2
1528481436,8,7
1528486837,26,3
1528491637,1,0
1528495234,2,3
1528502435,0,3
1528506637,0,5
1528512036,0,6
1528517436,0,1
1528522836,1,3
1528528236,1,1
1528533638,2,9
1528539636,2,3
1528545036,0,6
1528549837,2,7
1528555837,0,5
1528561237,1,2
1528566037,1,3
1528575037,0,3
1528579837,2,1
1528587033,0,1
1528591236,2,1
1528597237,0,5
1528602036,0,2
1528606836,0,5
1528614634,4,5
1528621837,1,5
1528627237,3,0
1528632637,0,4
1528638036,0,4
1528642837,0,6
1528646434,0,3
1528654238,1,2
1528659037,0,11
1528672236,5,3
1528677636,1,3
1528683037,0,1
1528689036,3,1
1528694437,0,1
1528699236,0,4
1528704638,0,2
1528709436,0,2
1528716636,1,2
1528720837,1,0
1528729236,0,3
1528732235,0,1
1528739433,1,2
1528743636,0,2
1528747234,1,0
1528750837,0,4
1528754434,0,1
1528762235,4,3
1528767037,2,4
1528770633,1,0
1528774236,1,0
1528777234,1,2
1528784434,1,4
1528789236,1,4
1528794037,3,0
1528798237,0,1
1528806634,3,0
1528810237,2,0
1528813835,0,3
1528816836,1,0
1528820434,0,4
1528825237,1,1
1528828834,1,0
1528831836,0,2
1528836037,2,0
1528840837,2,3
1528844435,1,0
1528848037,0,2
1528851635,0,3
1528856437,0,2
1528860636,0,2
1528871435,0,4
1528875036,1,2
1528878634,0,3
1528885837,0,3
1528889437,0,5
1528896036,0,3
1528900237,0,1
1528903834,3,0
1528907437,0,5
1528914635,1,3
1528917637,0,1
1528921236,2,1
1528925436,1,4
1528929035,1,0
1528932636,0,2
1528936234,1,0
1528940437,0,7
1528944036,1,0
1528949437,0,4
1528954236,0,4
1528962037,0,10
1528969834,0,3
1528974037,0,5
1528984834,0,7
1528987836,0,5
1528995639,0,7
1529002836,1,8
1529010037,0,1
1529014237,0,2
1529019635,1,3
1529024437,0,6
1529032234,2,0
1529037037,0,2
1529040635,2,0
1529044236,0,3
1529047834,0,4
1529051437,0,6
1529058638,0,3
1529061633,0,4
1529068834,0,5
1529073038,1,4
1529076634,1,0
1529079636,1,3
1529083838,1,3
1529087435,4,0
1529091037,3,3
1529094635,1,1
1529101834,3,1
1529108434,1,0
1529112642,0,5
1529123438,1,3
1529130635,0,2
1529134837,1,6
1529143234,0,3
1529146836,1,0
1529150434,0,8
1529154037,0,3
1529161237,0,3
1529164834,0,3
1529168437,7,0
1529172035,30,6
1529176236,9,4
1529181637,3,6
1529186437,3,10
1529193636,1,0
1529197234,1,2
1529201438,1,10
1529206236,2,0
1529209834,2,4
1529217034,0,4
1529220636,1,0
1529224234,2,2
1529227836,0,3
1529230835,0,1
1529238034,1,1
1529242237,0,1
1529245834,1,0
1529249436,0,1
1529252435,6,3
1529256637,2,4
1529260235,1,0
1529263236,0,2
1529266836,3,0
1529270437,0,3
1529274035,0,6
1529277637,1,0
1529281836,0,4
1529292033,0,4
1529299836,1,3
1529303434,1,0
1529306437,1,1
1529310034,1,0
1529313636,1,2
1529320834,3,2
1529328034,1,6
1529332237,0,2
1529335835,1,0
1529338838,1,3
1529343037,1,0
1529346635,13,0
1529350836,1,7
1529355036,3,2
1529362235,3,7
1529365836,3,1
1529370036,0,2
1529373634,1,0
1529377238,2,1
1529380235,1,5
1529387435,1,6
1529394634,0,6
1529398237,1,12
1529402437,0,4
1529406037,1,0
1529409037,0,3
1529416234,3,1
1529419837,1,3
1529427036,1,3
1529431237,1,4
1529438439,3,1
1529442035,1,0
1529445637,1,1
1529449235,2,6
1529452236,1,3
1529456437,8,2
1529460035,13,0
1529463036,2,4
1529467236,2,3
1529473836,1,6
1529477434,4,0
1529481637,3,6
1529485234,3,0
1529488837,1,0
1529491834,0,2
1529496036,0,7
1529503236,0,7
1529506834,1,8
1529509836,1,0
1529512834,2,7
1529517637,2,4
1529524837,0,2
1529528435,0,3
1529532636,0,2
1529536836,1,0
1529540434,0,3
1529544037,1,0
1529551235,0,6
1529554835,2,0
1529562037,0,5
1529565636,1,0
1529572835,3,9
1529580036,0,6
1529583636,1,2
1529587837,3,4
1529595037,0,5
1529598034,1,8
1529602237,0,2
1529605835,1,0
1529609436,2,3
1529612434,1,2
1529620237,0,2
1529627436,1,1
1529631035,1,0
1529638838,1,7
1529643636,0,2
1529647234,1,0
1529650837,0,6
1529654434,1,0
1529658036,1,0
1529661635,0,3
1529665236,1,0
1529668234,0,1
1529672437,1,5
1529682634,0,1
1529686837,3,3
1529694037,0,1
1529700636,0,6
1529704837,0,2
1529708434,1,0
1529711435,1,0
1529715636,0,2
1529719235,6,0
1529725833,1,5
1529729436,1,0
1529733033,2,5
1529736636,1,4
1529740235,1,13
1529744436,1,4
1529748034,1,0
1529751036,1,0
1529755237,2,8
1529758834,2,0
1529762436,1,0
1529766034,0,12
1529769036,0,7
1529773237,13,6
1529776834,25,0
1529780437,8,4
1529783434,3,0
1529788237,6,1
1529793037,2,1
1529807436,1,3
1529814036,0,3
1529821234,0,7
1529829636,0,7
1529843434,0,7
1529847038,2,0
1529850635,0,4
1529854236,0,1
1529857233,2,0
1529865035,2,3
1529868038,0,1
1529871635,1,1
1529875237,0,1
1529879437,1,1
1529883636,2,2
1529887836,2,2
1529892637,1,0
1529896838,1,4
1529901635,1,5
1529907036,3,4
1529911836,2,3
1529915433,2,0
1529918436,0,4
1529925634,2,1
1529929835,0,4
1529936436,1,1
1529944236,0,5
1529947835,1,0
1529950836,0,2
1529954433,0,2
1529958637,1,2
1529962234,1,1
1529969433,1,4
1529973637,0,6
1529977836,1,3
1529985034,1,0
1529988636,0,3
1529992234,0,1
1529996435,1,8
1530003636,1,0
1530007234,1,3
1530010836,0,2
1530017435,1,3
1530024634,1,0
1530031833,4,1
1530035436,1,0
1530039034,1,2
1530043237,1,5
1530046834,2,0
1530053435,2,1
1530057035,1,2
1530060633,1,3
1530067833,0,3
1530071436,0,2
1530078635,0,3
1530082836,0,5
1530089435,0,2
1530093636,0,2
1530100835,1,6
1530104434,1,3
1530107435,1,0
1530111636,1,7
1530118236,0,7
1530125434,2,1
1530129036,1,5
1530139834,0,4
1530143435,0,6
1530150633,1,3
1530157833,2,0
1530162035,2,3
1530165634,2,0
1530169236,0,9
1530175836,1,4
1530183035,0,2
1530190234,3,5
1530193836,0,2
1530201035,0,6
1530208236,5,3
1530212436,25,2
1530216034,23,0
1530220236,3,5
1530225635,1,4
1530228633,1,0
1530232235,2,2
1530238834,0,4
1530242434,0,3
1530249633,0,2
1530257434,1,2
1530261035,2,5
1530264634,1,1
1530268235,1,0
1530271834,1,7
1530274835,0,2
1530282035,1,5
1530285634,1,1
1530289235,2,0
1530292835,0,3
1530297037,2,1
1530300634,1,0
1530304236,0,4
1530312037,0,7
1530317436,4,2
1530324036,0,8
1530331235,1,3
1530334833,1,0
1530337836,1,3
1530342037,1,4
1530348635,1,3
1530352836,9,5
1530360036,0,4
1530363633,1,2
1530373836,0,3
1530378036,1,2
1530388834,0,4
1530392436,0,2
1530396636,0,1
1530401435,2,0
1530405034,0,4
1530409235,0,4
1530412833,1,0
1530418832,0,6
1530422435,1,0
1530426033,0,2
1530430836,0,5
1530434436,1,0
1530438636,0,2
1530442837,1,2
1530446435,50,0
1530450037,178,1
1530453635,10,4
1530457837,27,3
1530461436,8,0
1530464437,5,1
1530468035,2,0
1530471637,3,1
1530478835,0,5
1530482438,2,2
1530485434,1,0
1530489637,20,6
1530493837,15,3
1530499238,3,1
1530504036,1,0
1530508237,0,6
1530517236,1,8
1530520235,0,1
1530523838,1,0
