DateTime,Entries,UniqueIPs
1524885027,3175,3224
1524895827,3181,3230
1524910230,3182,3231
1524924628,3182,3231
1524939026,3173,3224
1524953428,3177,3228
1524966027,3179,3230
1524980424,3178,3229
1524991230,3174,3225
1525002629,3175,3226
1525013429,3181,3233
1525024229,3253,3305
1525035028,3260,3312
1525045828,3250,3301
1525056627,3245,3295
1525066827,3231,3279
1525078230,3211,3259
1525089028,3200,3248
1525099229,3195,3243
1525110028,3181,3229
1525121428,3177,3225
1525134625,3174,3223
1525148428,3168,3216
1525159230,3164,3212
1525170028,3159,3199
1525180228,3147,3186
1525191028,3138,3177
1525200026,3123,3162
1525210827,3106,3146
1525221627,3101,3141
1525232426,3098,3138
1525243826,3080,3120
1525254629,3067,3107
1525265429,3056,3096
1525275629,3047,3086
1525290028,3060,3097
1525303826,3057,3094
1525314027,3040,3075
1525324826,3044,3079
1525335029,3026,3059
1525347028,3016,3049
1525361428,3011,3044
1525374628,3014,3047
1525388426,3013,3045
1525399825,2996,3028
1525411226,2992,3023
1525421429,2992,3024
1525432229,2985,3018
1525443028,2980,3012
1525457426,2967,2999
1525471827,2960,2991
1525483226,2952,2983
1525496427,2954,2985
1525506630,2940,2971
1525516829,2931,2962
1525528829,3200,3235
1525539029,3260,3295
1525550429,3273,3308
1525560628,3287,3322
1525570829,3291,3326
1525582826,3297,3332
1525593629,3284,3319
1525603829,3268,3303
1525614629,3261,3296
1525625428,3253,3288
1525636227,3242,3278
1525647028,3231,3266
1525657827,3306,3343
1525668626,3311,3348
1525679429,3313,3350
1525690231,3318,3356
1525701630,3319,3357
1525711830,3313,3351
1525722630,3302,3340
1525732828,3292,3330
1525744228,3292,3330
1525755627,3278,3316
1525765829,3283,3322
1525776629,3279,3318
1525788029,3284,3323
1525797629,3286,3325
1525809029,3288,3327
1525819828,3296,3335
1525831229,3303,3343
1525841427,3297,3337
1525852230,3293,3334
1525863630,3282,3323
1525874429,3265,3306
1525884631,3251,3291
1525894829,3256,3296
1525905628,3258,3298
1525917627,3261,3301
1525928427,3267,3307
1525938629,3269,3309
1525949430,3265,3305
1525960829,3266,3306
1525971029,3256,3295
1525982428,3252,3291
1525992029,3247,3287
1526003427,3252,3293
1526014228,3247,3288
1526025030,3235,3276
1526035829,3236,3277
1526046629,3233,3274
1526057429,3232,3273
1526068229,3231,3273
1526078429,3232,3273
1526089228,3240,3283
1526100027,3241,3284
1526111430,3245,3288
1526121629,3244,3288
1526133029,3224,3268
1526143829,3239,3283
1526154628,3267,3311
1526165439,3262,3306
1526176827,3256,3300
1526187027,3254,3298
1526197830,3259,3303
1526208630,3259,3303
1526218830,3262,3306
1526229629,3260,3304
1526241029,3258,3301
1526251828,3250,3293
1526262627,3224,3267
1526273427,3214,3257
1526284229,3207,3251
1526294430,3197,3241
1526305229,3199,3243
1526316028,3193,3237
1526327428,3184,3228
1526338227,3174,3219
1526348428,3166,3210
1526359827,3178,3222
1526370629,3180,3224
1526381429,3164,3208
1526392229,3144,3187
1526402428,3135,3177
1526413828,3113,3153
1526424027,3111,3151
1526435427,3114,3154
1526446827,3112,3152
1526457030,3100,3140
1526468430,3112,3152
1526478629,3105,3144
1526488828,3108,3147
1526499629,3118,3161
1526510428,3119,3162
1526521227,3109,3152
1526532028,3090,3133
1526542830,3084,3127
1526554230,3072,3116
1526564430,3055,3099
1526575232,3058,3102
1526586030,3058,3102
1526600428,3073,3117
1526610028,3067,3111
1526620827,3067,3111
1526631631,3057,3101
1526642430,3052,3096
1526652630,3046,3090
1526664030,3038,3082
1526674229,3026,3068
1526685028,3022,3064
1526696428,3022,3064
1526706627,3019,3061
1526718029,3018,3060
1526728229,3018,3060
1526739029,3020,3062
1526749828,3043,3085
1526760629,3087,3133
1526775028,3096,3142
1526785827,3103,3148
1526796627,3091,3135
1526808030,3081,3125
1526818229,3080,3124
1526829029,3069,3113
1526843428,3071,3115
1526857830,3074,3118
1526868628,3069,3113
1526879427,3064,3108
1526890831,3069,3113
1526901629,3063,3106
1526913029,3065,3108
1526922630,3074,3117
1526933429,3074,3117
1526944828,3063,3106
1526956228,3049,3092
1526966428,3030,3072
1526977230,3023,3065
1526988030,3016,3058
1526998829,3015,3057
1527009030,3009,3051
1527023429,3008,3050
1527035427,3001,3043
1527048628,3006,3047
1527059430,3000,3041
1527073830,2984,3026
1527088230,2973,3015
1527100830,2963,3005
1527115228,2971,3013
1527124227,2969,3011
1527135029,2965,3007
1527147630,2969,3011
1527158430,2955,2997
1527169830,2960,3002
1527183029,2955,2998
1527197430,2944,2987
1527208227,2937,2980
1527221428,2924,2965
1527232231,2913,2954
1527243031,2903,2945
1527253831,2903,2945
1527267629,2900,2943
1527280829,2879,2923
1527280829,2889,2933
1527280829,2889,2933
1527280829,2901,2945
1527295228,2881,2925
1527295228,2881,2925
1527295228,2881,2925
1527295228,2881,2925
1527295228,2886,2930
1527295228,2886,2930
1527295228,2886,2930
1527295228,2886,2930
1527295228,2886,2930
1527295228,2886,2930
1527309628,2878,2923
1527309628,2878,2923
1527309628,2878,2923
1527309628,2878,2923
1527309628,2878,2923
1527309628,2878,2923
1527309628,2878,2923
1527309628,2878,2923
1527309628,2886,2931
1527309628,2886,2931
1527309628,2886,2931
1527309628,2886,2931
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2877,2922
1527324030,2889,2934
1527324030,2889,2934
1527338431,2869,2914
1527338431,2869,2914
1527338431,2869,2914
1527338431,2869,2914
1527338431,2869,2914
1527338431,2869,2914
1527937829,2792,2834
1527937829,2792,2834
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2791,2833
1527952230,2796,2838
1527952230,2796,2838
1527952230,2796,2838
1527963029,2786,2828
1527963029,2786,2828
1527963029,2786,2828
1527963029,2786,2828
1527963029,2786,2828
1527963029,2786,2828
1527963029,2786,2828
1527963029,2786,2828
1527963029,2794,2836
1527975030,2775,2816
1527975030,2775,2816
1527975030,2775,2816
1527975030,2775,2816
1527975030,2775,2816
1527975030,2775,2816
1527975030,2788,2830
1527975030,2788,2830
1527975030,2788,2830
1527988228,2764,2805
1527988228,2764,2805
1527988228,2764,2805
1527988228,2764,2805
1527988228,2764,2805
1527988228,2780,2821
1527988228,2780,2821
1527988228,2780,2821
1528002027,2774,2815
1528002027,2774,2815
1528015231,2765,2806
1528027831,2768,2808
1528041631,2765,2804
1528052429,2763,2801
1528063229,2751,2789
1528075828,2744,2782
1528090227,2735,2773
1528104632,2730,2768
1528117831,2699,2737
1528129831,2694,2732
1528143030,2699,2737
1528155630,2696,2734
1528166430,2699,2737
1528177829,2695,2733
1528188032,2679,2714
1528200630,2668,2703
1528211431,2662,2697
1528222231,2657,2692
1528234230,2654,2689
1528246830,2651,2686
1528260030,2650,2684
1528270832,2648,2682
1528285232,2649,2683
1528299631,2630,2664
1528299631,2641,2675
1528315229,2586,2619
1528315229,2586,2619
1528315229,2616,2649
1528327830,2596,2631
1528337430,2591,2626
1528348229,2588,2623
1528357232,2580,2615
1528371631,2586,2621
1528385429,2560,2595
1528396229,2553,2588
1528411228,2554,2590
1528425628,2545,2580
1528436429,2539,2574
1528447232,2531,2566
1528458631,2536,2571
1528470629,2517,2551
1528481430,2515,2549
1528495228,2535,2569
1528506630,2542,2576
1528517430,2537,2571
1528528231,2531,2565
1528539631,2541,2575
1528549831,2537,2571
1528561231,2528,2561
1528575032,2523,2556
1528587028,2520,2553
1528597230,2507,2540
1528611028,2488,2519
1528621832,2486,2517
1528632632,2488,2519
1528646430,2485,2516
1528659031,2483,2514
1528672230,2485,2516
1528683030,2485,2515
1528694430,2481,2511
1528704633,2488,2519
1528716631,2478,2508
1528729230,2458,2488
1528743630,2440,2471
1528754428,2438,2469
1528767029,2434,2465
1528781428,2428,2459
1528794032,2428,2460
1528806630,2415,2447
1528820430,2417,2450
1528831830,2416,2448
1528844430,2411,2444
1528856430,2391,2424
1528867829,2380,2412
1528882232,2350,2382
1528896032,2341,2373
1528907432,2348,2380
1528921230,2342,2374
1528932630,2325,2357
1528944029,2332,2365
1528957828,2341,2374
1528969830,2341,2374
1528981831,2323,2357
1528995631,2314,2348
1529010030,2301,2335
1529024430,2299,2333
1529037029,2303,2336
1529051432,2298,2331
1529065231,2293,2326
1529079630,2287,2320
1529091031,2294,2328
1529105430,2287,2322
1529119829,2273,2308
1529130628,2269,2304
1529143229,2248,2283
1529157631,2247,2282
1529172029,2257,2293
1529186430,2270,2305
1529197228,2273,2308
1529209827,2279,2314
1529224230,2285,2320
1529238030,2284,2319
1529252430,2264,2300
1529266830,2259,2295
1529277630,2251,2287
1529292027,2247,2282
1529306432,2247,2282
1529320830,2245,2279
1529332232,2237,2271
1529346629,2247,2281
1529359230,2260,2292
1529373628,2257,2289
1529387428,2237,2268
1529398232,2223,2253
1529409032,2229,2260
1529423430,2225,2255
1529434829,2227,2257
1529449229,2231,2261
1529463029,2243,2273
1529477427,2249,2279
1529491830,2262,2292
1529503232,2263,2293
1529517631,2264,2294
1529528430,2260,2290
1529540429,2248,2278
1529554829,2238,2268
1529565631,2241,2271
1529580031,2246,2276
1529591429,2243,2273
1529605829,2242,2272
1529620230,2252,2283
1529634629,2251,2282
1529647227,2258,2288
1529661631,2245,2275
1529676030,2239,2269
1529690430,2224,2254
1529704831,2228,2258
1529719228,2232,2263
1529733027,2229,2261
1529744431,2227,2259
1529758829,2240,2272
1529773231,2260,2293
1529783428,2275,2308
1529796628,2267,2300
1529811028,2254,2287
1529824831,2237,2270
1529835631,2235,2267
1529847031,2239,2271
1529861431,2242,2274
1529875230,2245,2278
1529887828,2250,2283
1529901628,2249,2281
1529915430,2247,2278
1529929831,2238,2268
1529944231,2236,2267
