DateTime,Entries,UniqueIPs
1526133029,1335,1335
1526143829,1337,1337
1526154628,1333,1333
1526165439,1367,1367
1526176827,1359,1359
1526187027,1375,1375
1526197830,1353,1353
1526208630,1348,1348
1526218830,1308,1308
1526229629,1347,1347
1526241029,1359,1359
1526251828,1382,1382
1526262627,1337,1337
1526273427,1284,1284
1526284229,1283,1283
1526294430,1315,1315
1526305229,1265,1265
1526316028,1356,1356
1526327428,1322,1322
1526338227,1397,1397
1526348428,1387,1387
1526359827,1374,1374
1526370629,1376,1376
1526381429,1335,1335
1526392229,1239,1239
1526402428,1320,1320
1526413828,1364,1364
1526424027,1415,1415
1526435427,1353,1353
1526446827,1268,1268
1526457030,1305,1305
1526468430,1235,1235
1526478629,1217,1217
1526488828,1211,1211
1526499629,1305,1305
1526510428,1314,1314
1526521227,1307,1307
1526532028,1212,1212
1526542830,1193,1193
1526554230,1183,1183
1526564430,1168,1168
1526575232,1183,1183
1526586030,1233,1233
1526600428,1308,1308
1526610028,1241,1241
1526620827,1176,1176
1526631631,1181,1181
1526642430,1185,1185
1526652630,1185,1185
1526664030,1181,1181
1526674229,1227,1227
1526685028,1269,1269
1526696428,1184,1184
1526706627,1136,1136
1526718029,1183,1183
1526728229,1127,1127
1526739029,1130,1130
1526749828,1161,1161
1526760629,1197,1197
1526775028,1291,1291
1526785827,1201,1201
1526796627,1202,1202
1526808030,1187,1187
1526818229,1211,1211
1526829029,1229,1229
1526843428,1276,1276
1526857830,1349,1349
1526868628,1283,1283
1526879427,1272,1272
1526890831,1288,1288
1526901629,1282,1282
1526913029,1249,1249
1526922630,1277,1277
1526933429,1303,1303
1526944828,1296,1296
1526956228,1244,1244
1526966428,1145,1145
1526977230,1123,1123
1526988030,1136,1136
1526998829,1108,1108
1527009030,1215,1215
1527023429,1238,1238
1527035427,1240,1240
1527048628,1115,1115
1527059430,1109,1109
1527073830,1109,1109
1527088230,1130,1130
1527100830,1173,1173
1527115228,1198,1198
1527124227,1214,1214
1527135029,1125,1125
1527147630,1186,1186
1527158430,1121,1121
1527169830,1153,1153
1527183029,1193,1193
1527197430,1282,1282
1527208227,1268,1268
1527221428,1120,1120
1527232231,1115,1115
1527243031,1084,1084
1527253831,1085,1085
1527267629,1098,1098
1527280829,1189,1189
1527280829,1189,1189
1527280829,1189,1189
1527280829,1189,1189
1527295228,1222,1222
1527295228,1222,1222
1527295228,1222,1222
1527295228,1222,1222
1527295228,1222,1222
1527295228,1222,1222
1527295228,1222,1222
1527295228,1222,1222
