DateTime,AddedIPs,RemovedIPs
1528506635,10,18
1528512034,12,8
1528517434,11,11
1528522834,9,9
1528528233,11,5
1528533636,11,0
1528539633,8,9
1528545034,8,17
1528549834,9,6
1528555834,10,17
1528561235,12,6
1528566035,9,8
1528569632,7,0
1528575035,8,17
1528579835,3,23
1528587031,12,9
1528591234,7,8
1528597235,5,10
1528602034,9,10
1528606834,6,12
1528614632,12,12
1528617634,13,9
1528621834,9,11
1528627235,9,8
1528632635,7,14
1528638034,11,8
1528642834,12,8
1528646432,7,0
1528649435,12,8
1528654235,11,16
1528659035,5,0
1528663235,6,10
1528666832,10,0
1528672234,8,18
1528677634,9,0
1528683034,7,6
1528689034,11,9
1528694435,7,18
1528699234,6,11
1528704635,9,10
1528709434,11,6
1528713032,8,0
1528716634,8,7
1528720834,10,10
1528724431,11,0
1528729234,3,19
1528732232,14,7
1528739431,9,7
1528743634,9,7
1528747232,6,0
1528750835,5,6
1528754432,9,21
1528762232,9,9
1528767034,10,8
1528770631,6,0
1528774234,4,9
1528777232,8,12
1528784432,10,7
1528789234,6,2
1528794035,10,9
1528798235,6,11
1528803035,5,8
1528806632,8,0
1528810235,6,0
1528813833,6,20
1528816834,10,0
1528820432,8,8
1528825235,10,13
1528828832,7,0
1528831834,4,0
1528836035,11,21
1528840835,11,8
1528844433,9,0
1528848034,10,0
1528851633,8,9
1528856434,8,18
1528860634,8,10
1528864232,2,0
1528867834,10,3
1528871432,10,10
1528875034,12,0
1528878632,9,8
1528882234,6,0
1528885832,9,8
1528889434,7,10
1528893032,8,8
1528896034,6,11
1528900235,7,9
1528903832,11,0
1528907435,10,18
1528914632,9,10
1528917635,10,14
1528921233,9,0
1528925434,6,7
1528929032,8,0
1528932634,5,18
1528936232,6,8
1528940435,10,11
1528944033,10,0
1528949434,5,23
1528954234,8,7
1528957832,8,0
1528962034,11,26
1528966835,9,8
1528969832,8,0
1528974035,14,15
1528977632,12,0
1528984832,8,15
1528987834,10,0
1528991433,8,21
1528995636,4,7
1528999232,6,0
1529002834,7,8
1529006432,6,10
1529010035,5,8
1529014235,7,15
1529019633,6,6
1529024435,8,7
1529028634,9,20
1529032232,10,0
1529037035,7,7
1529040633,10,0
1529044234,6,18
1529047832,3,0
1529051434,9,0
1529055032,9,11
1529058635,7,17
1529061631,12,0
1529065234,8,17
1529068832,8,0
1529073036,6,17
1529076631,7,0
1529079634,11,10
1529083835,3,12
1529087432,9,0
1529091035,9,5
1529094632,9,8
1529101832,7,5
1529105435,9,7
1529108432,7,7
1529112638,6,5
1529119833,10,16
1529123435,6,0
1529130632,8,18
1529134835,8,23
1529139634,10,11
1529143232,6,0
1529146834,12,7
1529150432,10,10
1529154035,8,10
1529157633,10,6
1529161235,4,0
1529164832,9,13
1529168435,15,10
1529172033,9,0
1529176234,11,25
1529181634,15,9
1529186435,8,9
1529190033,5,0
1529193634,6,8
1529197232,7,5
1529201436,5,7
1529206234,7,8
1529209832,7,6
1529213434,7,0
1529217032,9,0
1529220634,6,9
1529224232,11,0
1529227834,10,10
1529230833,10,12
1529234435,8,10
1529238032,11,10
1529242235,6,18
1529245832,9,0
1529249434,11,6
1529252432,9,6
1529256635,7,23
1529260232,8,0
1529263234,10,0
1529266833,8,9
1529270435,7,11
1529274032,5,0
1529277634,6,17
1529281834,10,16
1529285432,9,0
1529289034,10,0
1529292031,8,6
1529295634,13,10
1529299834,10,16
1529303431,9,0
1529306434,12,17
1529310031,8,0
1529313634,6,6
1529320832,5,27
1529328032,6,7
1529332235,10,16
1529335833,8,9
1529338835,7,7
1529343035,7,7
1529346632,4,7
1529350834,9,18
1529355034,9,7
1529359234,10,0
1529362233,13,8
1529365834,6,7
1529370034,6,21
1529373632,5,0
1529377236,7,11
1529380233,10,4
1529383834,12,11
1529387433,9,0
1529394632,8,33
1529398235,8,10
1529402435,7,9
1529406035,9,0
1529409035,10,8
1529416232,8,10
1529419835,11,0
1529423433,13,17
1529427034,6,8
1529431235,9,10
1529434832,6,0
1529438436,9,0
1529442033,8,10
1529445634,11,17
1529449232,8,6
1529452234,7,6
1529456435,12,0
1529460032,8,17
1529463034,8,9
1529467234,8,21
1529470832,9,0
1529473833,10,9
1529477432,12,0
1529481635,10,15
1529485232,13,0
1529488834,8,0
1529491832,6,9
1529496034,8,11
1529499632,10,0
1529503234,4,5
1529506832,12,6
1529509834,9,9
1529512832,9,12
1529517634,6,0
1529521232,7,15
1529524835,7,11
1529528433,6,7
1529532634,9,19
1529536834,5,0
1529540432,9,9
1529544035,10,0
1529551232,8,31
1529554834,6,0
1529562034,10,27
1529565634,3,11
1529572833,8,17
1529576435,6,7
1529580034,8,15
1529583634,8,0
1529587834,5,22
1529591432,10,0
1529595035,7,7
1529598032,11,9
1529602235,6,6
1529605833,7,0
1529609434,6,15
1529612432,8,8
1529616034,10,5
1529620234,9,18
1529623831,9,0
1529627434,11,12
1529631033,9,11
1529634633,12,0
1529638836,11,17
1529643634,2,0
1529647232,10,0
1529650835,11,7
1529654432,6,7
1529658034,6,0
1529661633,6,10
1529665234,9,6
1529668232,7,8
1529672434,6,6
1529676033,6,0
1529679035,7,12
1529682632,8,9
1529686835,4,8
1529690432,7,0
1529694035,6,13
1529697632,8,8
1529700634,6,8
1529704835,12,5
1529708432,8,0
1529711433,7,10
1529715634,10,14
1529719232,8,0
1529722834,12,7
1529725831,6,0
1529729434,9,8
1529733031,9,0
1529736634,8,16
1529740232,6,7
1529744434,6,10
1529748032,7,9
1529751034,10,8
1529755234,13,6
1529758832,6,0
1529762434,11,8
1529766032,8,12
1529769034,3,15
1529773235,8,0
1529776832,10,17
1529780435,9,0
1529783432,11,8
1529788235,7,19
1529793035,6,13
1529796632,3,0
1529799633,7,9
1529803232,9,0
1529807434,4,29
1529811032,7,0
1529814034,7,11
1529821231,6,21
1529824833,11,9
1529829634,8,7
1529832631,7,0
1529835634,4,14
1529843432,7,7
1529847035,9,18
1529850633,10,10
1529854235,3,7
1529857231,7,5
1529865032,11,17
1529868035,7,6
1529871632,7,9
1529875234,9,0
1529879435,8,15
1529883634,6,9
1529887834,10,9
1529892634,7,0
1529896835,11,15
1529901633,5,9
1529907034,10,1
1529911834,9,9
1529915431,6,0
1529918434,10,3
