DateTime,AddedIPs,RemovedIPs
1528506635,22,23
1528512034,22,18
1528517434,24,25
1528522834,23,24
1528528233,17,18
1528533636,18,16
1528539633,19,21
1528545034,26,23
1528549834,21,23
1528555834,16,15
1528561235,18,19
1528566035,23,24
1528569632,21,19
1528575035,20,23
1528579835,14,18
1528587031,21,16
1528591234,23,22
1528597235,14,13
1528602034,21,23
1528606834,18,21
1528614632,23,19
1528617634,24,23
1528621834,24,25
1528627235,19,17
1528632635,13,13
1528638034,24,25
1528642834,21,22
1528646432,24,24
1528649435,23,24
1528654235,24,21
1528659035,16,20
1528663235,23,20
1528666832,24,24
1528672234,16,18
1528677634,16,14
1528683034,18,18
1528689034,19,18
1528694435,13,16
1528699234,16,20
1528704635,20,14
1528709434,18,20
1528713032,25,23
1528716634,21,23
1528720834,23,23
1528724431,25,22
1528729234,22,25
1528732232,22,22
1528739431,23,21
1528743634,20,21
1528747232,21,22
1528750835,21,21
1528754432,23,22
1528762232,23,22
1528767034,22,24
1528770631,21,23
1528774234,22,20
1528777232,22,21
1528784432,20,19
1528789234,21,21
1528794035,22,23
1528798235,21,21
1528803035,19,20
1528806632,20,22
1528810235,17,16
1528813833,22,20
1528816834,21,23
1528820432,24,22
1528825235,23,21
1528828832,18,22
1528831834,23,22
1528836035,23,20
1528840835,21,22
1528844433,21,22
1528848034,24,24
1528851633,22,24
1528856434,21,20
1528860634,21,21
1528864232,19,21
1528867834,22,18
1528871432,24,23
1528875034,22,24
1528878632,21,22
1528882234,23,21
1528885832,25,25
1528889434,22,25
1528893032,19,20
1528896034,23,20
1528900235,23,22
1528903832,24,23
1528907435,22,24
1528914632,21,20
1528917635,23,23
1528921233,22,23
1528925434,23,22
1528929032,22,23
1528932634,20,22
1528936232,21,18
1528940435,23,23
1528944033,22,24
1528949434,11,14
1528954234,24,18
1528957832,22,26
1528962034,24,21
1528966835,20,23
1528969832,25,22
1528974035,22,21
1528977632,23,24
1528984832,18,19
1528987834,23,24
1528991433,23,21
1528995636,20,25
1528999232,22,21
1529002834,20,17
1529006432,22,23
1529010035,20,21
1529014235,21,18
1529019633,14,17
1529024435,19,20
1529028634,19,16
1529032232,24,23
1529037035,22,22
1529040633,22,24
1529044234,23,23
1529047832,17,19
1529051434,22,19
1529055032,24,23
1529058635,21,23
