DateTime,AddedIPs,RemovedIPs
1529815205,7,6
1529815684,6,8
1529816167,9,8
1529816650,6,6
1529817126,8,9
1529817605,6,8
1529818091,9,4
1529818571,3,8
1529819048,6,5
1529819526,6,5
1529820025,10,13
1529820487,10,7
1529820970,6,8
1529821445,8,7
1529821933,9,9
1529822405,8,5
1529822886,5,7
1529823365,5,8
1529823848,9,6
1529824327,6,8
1529824805,5,6
1529825289,7,8
1529825767,6,6
1529826245,5,5
1529826725,4,5
1529827217,7,6
1529827688,8,9
1529828167,8,8
1529828644,7,2
1529829127,2,3
1529829608,1,0
1529854808,0,1
1529855289,1,0
1529856247,0,1
1529856738,1,0
1529858167,0,1
1529858648,1,0
1529888886,3,10
1529889368,11,15
1529889848,14,13
1529890325,8,8
1529890809,11,10
1529891285,9,8
1529891767,8,6
1529892251,10,13
1529892725,8,7
1529893209,6,10
1529893688,12,12
1529894166,10,9
1529894650,9,9
1529895124,8,6
1529895623,8,5
1529896087,4,3
1529896569,5,8
1529897046,6,8
1529897526,10,5
1529898009,6,6
1529898488,9,7
1529898968,6,4
1529899454,5,3
1529899927,5,7
1529900405,5,8
1529900891,6,4
1529901369,4,7
1529901849,7,7
1529902325,7,7
1529902815,7,7
1529903293,4,7
1529903767,8,7
1529904248,8,6
1529904727,8,9
1529905207,7,7
1529905689,6,7
1529906165,17,16
1529906647,8,6
1529907131,5,7
1529907606,7,5
1529908086,5,5
1529908564,6,6
1529909050,3,8
1529909525,9,8
1529910016,6,3
1529910486,3,4
1529910969,5,5
1529911445,5,5
1529911926,6,4
1529912405,4,5
1529913130,6,7
1529913620,7,5
1529914085,6,5
1529914566,4,8
1529915045,6,3
1529915528,4,0
1529937605,1,1
1529948644,0,1
1529949127,1,0
1529975048,0,8
1529975525,10,9
1529976004,12,12
1529976488,11,13
1529976965,11,14
1529977445,16,6
1529977925,6,9
1529978410,8,7
1529978888,5,9
1529979365,7,7
1529979844,9,10
1529980325,9,8
1529980806,10,7
1529981288,5,8
1529982248,8,10
1529982725,7,7
1529983207,6,8
1529983684,7,6
1529984166,7,8
1529984649,7,13
1529985124,9,6
1529985615,8,7
1529986091,7,4
1529986566,5,6
1529987045,7,8
1529987526,8,5
1529988006,5,4
1529988489,3,7
1529988966,11,4
1529989451,3,7
1529989926,7,8
1529990407,8,8
1529990888,5,8
1529991365,11,12
1529991846,9,4
1529992330,6,8
1529992810,16,13
1529993285,5,6
1529993768,5,7
1529994245,6,2
1529994728,4,5
1529995206,5,4
1529995690,4,4
1529996166,4,10
1529996649,7,6
1529997126,6,10
1529997607,6,10
1529998090,12,5
1529998566,4,6
1529999048,8,3
1529999525,3,14
1530000012,17,9
1530000486,9,8
1530000967,7,12
1530001688,9,5
1530002167,4,2
1530017529,0,1
1530018018,1,0
1530061452,2,8
1530061927,7,10
1530062405,13,11
1530062887,8,9
1530063365,13,7
1530063846,5,6
1530064329,11,11
1530064808,10,8
1530065288,12,5
1530065768,5,5
1530066244,6,9
1530066726,10,10
1530067205,6,6
1530067689,6,5
1530068165,5,7
1530068646,9,7
1530069125,7,5
1530069606,5,5
1530070086,7,7
1530070564,6,8
1530071049,6,5
1530071528,5,9
1530072015,7,7
1530072486,7,6
1530072966,9,10
1530073446,7,7
1530073927,6,3
1530074405,4,7
1530074887,7,7
1530075367,10,6
1530075846,6,8
1530076325,11,7
1530076807,9,8
1530077289,9,4
1530077767,5,9
1530078246,9,12
1530078725,9,9
1530079223,16,13
1530079687,7,5
1530080165,5,7
1530080644,5,3
1530081127,3,6
1530081607,5,6
1530082094,6,6
1530082567,4,8
1530083047,5,6
1530083528,7,5
1530084004,6,8
1530084486,10,6
1530084965,4,7
1530085446,9,7
1530085924,5,10
1530086453,10,7
1530086886,10,7
1530087365,7,8
1530087847,7,4
1530088330,5,3
1530088806,2,0
1530103205,0,1
1530103688,1,0
1530126724,0,1
1530127208,1,0
1530132725,0,1
1530133229,1,0
1530148330,5,13
1530148807,13,9
1530149287,11,9
1530149764,9,9
1530150246,7,10
1530150728,8,10
1530151214,11,5
1530151686,5,7
1530152166,7,9
1530152646,8,8
1530153126,12,12
1530153606,8,7
1530154087,8,11
1530154816,9,9
1530155529,9,6
1530156004,3,9
1530156485,12,9
1530156964,6,5
1530157446,10,12
1530157924,8,7
1530158427,8,5
1530158884,5,7
1530159368,10,8
1530159845,4,9
1530160333,11,4
1530160804,4,6
1530161286,5,6
1530161767,8,6
1530162246,3,7
1530162726,6,9
1530163207,8,7
1530163687,6,8
1530164165,11,11
1530164645,7,6
1530165126,10,6
1530165613,12,15
1530166087,8,4
1530166564,4,8
1530167046,8,7
1530167528,8,7
1530168005,7,7
1530168484,8,7
1530168966,5,7
1530169445,8,7
1530169936,8,6
1530170405,7,4
1530170885,5,7
1530171364,5,5
1530171846,6,6
1530172324,5,4
1530172822,7,9
1530173286,6,11
1530173769,9,7
1530174246,5,1
1530174730,2,1
1530179766,0,2
1530180246,2,0
1530208568,0,1
1530209051,1,0
1530222244,0,1
1530222729,1,0
1530234969,6,10
1530236414,13,17
1530237368,14,5
1530238087,5,8
1530238810,8,11
1530240007,16,15
1530241228,8,7
1530242410,3,4
1530242884,5,4
1530244089,6,12
1530244565,8,9
1530245049,8,8
1530245525,6,7
1530246005,7,6
1530246485,5,5
1530246966,7,9
1530247959,9,10
1530248410,11,8
1530248889,5,8
1530249364,8,8
1530249845,7,8
1530250326,6,8
1530250806,10,9
1530251287,6,7
1530251765,17,16
1530252247,7,10
1530252969,11,8
1530253444,9,5
1530254168,6,10
1530254648,10,4
1530255125,6,10
1530255615,12,8
1530256090,7,8
1530256564,8,7
1530257045,7,5
1530257534,7,9
1530258004,5,5
1530258484,6,7
1530258966,5,6
1530259447,9,12
1530259927,9,8
1530260409,9,6
1530261129,4,4
1530261605,1,0
1530305286,0,1
1530305765,1,0
