DateTime,Entries,UniqueIPs
1529815205,4994,4994
1529815684,4992,4992
1529816167,4993,4993
1529816650,4993,4993
1529817126,4992,4992
1529817605,4990,4990
1529818091,4995,4995
1529818571,4990,4990
1529819048,4991,4991
1529819526,4992,4992
1529820025,4989,4989
1529820487,4992,4992
1529820970,4990,4990
1529821445,4991,4991
1529821933,4991,4991
1529822405,4994,4994
1529822886,4992,4992
1529823365,4989,4989
1529823848,4992,4992
1529824327,4990,4990
1529824805,4989,4989
1529825289,4988,4988
1529825767,4988,4988
1529826245,4988,4988
1529826725,4987,4987
1529827217,4988,4988
1529827688,4987,4987
1529828167,4987,4987
1529828644,4992,4992
1529829127,4991,4991
1529829608,4992,4992
1529854808,4991,4991
1529855289,4992,4992
1529856247,4991,4991
1529856738,4992,4992
1529858167,4991,4991
1529858648,4992,4992
1529888886,4985,4985
1529889368,4981,4981
1529889848,4982,4982
1529890325,4982,4982
1529890809,4983,4983
1529891285,4984,4984
1529891767,4986,4986
1529892251,4983,4983
1529892725,4984,4984
1529893209,4980,4980
1529893688,4980,4980
1529894166,4981,4981
1529894650,4981,4981
1529895124,4983,4983
1529895623,4986,4986
1529896087,4987,4987
1529896569,4984,4984
1529897046,4982,4982
1529897526,4987,4987
1529898009,4987,4987
1529898488,4989,4989
1529898968,4991,4991
1529899454,4993,4993
1529899927,4991,4991
1529900405,4988,4988
1529900891,4990,4990
1529901369,4987,4987
1529901849,4987,4987
1529902325,4987,4987
1529902815,4987,4987
1529903293,4984,4984
1529903767,4985,4985
1529904248,4987,4987
1529904727,4986,4986
1529905207,4986,4986
1529905689,4985,4985
1529906165,4986,4986
1529906647,4988,4988
1529907131,4986,4986
1529907606,4988,4988
1529908086,4988,4988
1529908564,4988,4988
1529909050,4983,4983
1529909525,4984,4984
1529910016,4987,4987
1529910486,4986,4986
1529910969,4986,4986
1529911445,4986,4986
1529911926,4988,4988
1529912405,4987,4987
1529913130,4986,4986
1529913620,4988,4988
1529914085,4989,4989
1529914566,4985,4985
1529915045,4988,4988
1529915528,4992,4992
1529937605,4992,4992
1529948644,4991,4991
1529949127,4992,4992
1529975048,4984,4984
1529975525,4985,4985
1529976004,4985,4985
1529976488,4983,4983
1529976965,4980,4980
1529977445,4990,4990
1529977925,4987,4987
1529978410,4988,4988
1529978888,4984,4984
1529979365,4984,4984
1529979844,4983,4983
1529980325,4984,4984
1529980806,4987,4987
1529981288,4984,4984
1529982248,4982,4982
1529982725,4982,4982
1529983207,4980,4980
1529983684,4981,4981
1529984166,4980,4980
1529984649,4974,4974
1529985124,4977,4977
1529985615,4978,4978
1529986091,4981,4981
1529986566,4980,4980
1529987045,4979,4979
1529987526,4982,4982
1529988006,4983,4983
1529988489,4979,4979
1529988966,4986,4986
1529989451,4982,4982
1529989926,4981,4981
1529990407,4981,4981
1529990888,4978,4978
1529991365,4977,4977
1529991846,4982,4982
1529992330,4980,4980
1529992810,4983,4983
1529993285,4982,4982
1529993768,4980,4980
1529994245,4984,4984
1529994728,4983,4983
1529995206,4984,4984
1529995690,4984,4984
1529996166,4978,4978
1529996649,4979,4979
1529997126,4975,4975
1529997607,4971,4971
1529998090,4978,4978
1529998566,4976,4976
1529999048,4981,4981
1529999525,4970,4970
1530000012,4978,4978
1530000486,4979,4979
1530000967,4974,4974
1530001688,4978,4978
1530002167,4980,4980
1530017529,4979,4979
1530018018,4980,4980
1530061452,4974,4974
1530061927,4971,4971
1530062405,4973,4973
1530062887,4972,4972
1530063365,4978,4978
1530063846,4977,4977
1530064329,4977,4977
1530064808,4979,4979
1530065288,4986,4986
1530065768,4986,4986
1530066244,4983,4983
1530066726,4983,4983
1530067205,4983,4983
1530067689,4984,4984
1530068165,4982,4982
1530068646,4984,4984
1530069125,4986,4986
1530069606,4986,4986
1530070086,4986,4986
1530070564,4984,4984
1530071049,4985,4985
1530071528,4981,4981
1530072015,4981,4981
1530072486,4982,4982
1530072966,4981,4981
1530073446,4981,4981
1530073927,4984,4984
1530074405,4981,4981
1530074887,4981,4981
1530075367,4985,4985
1530075846,4983,4983
1530076325,4987,4987
1530076807,4988,4988
1530077289,4993,4993
1530077767,4989,4989
1530078246,4986,4986
1530078725,4986,4986
1530079223,4989,4989
1530079687,4991,4991
1530080165,4989,4989
1530080644,4991,4991
1530081127,4988,4988
1530081607,4987,4987
1530082094,4987,4987
1530082567,4983,4983
1530083047,4982,4982
1530083528,4984,4984
1530084004,4982,4982
1530084486,4986,4986
1530084965,4983,4983
1530085446,4985,4985
1530085924,4980,4980
1530086453,4983,4983
1530086886,4986,4986
1530087365,4985,4985
1530087847,4988,4988
1530088330,4990,4990
1530088806,4992,4992
1530103205,4991,4991
1530103688,4992,4992
1530126724,4991,4991
1530127208,4992,4992
1530132725,4991,4991
1530133229,4992,4992
1530148330,4984,4984
1530148807,4988,4988
1530149287,4990,4990
1530149764,4990,4990
1530150246,4987,4987
1530150728,4985,4985
1530151214,4991,4991
1530151686,4989,4989
1530152166,4987,4987
1530152646,4987,4987
1530153126,4987,4987
1530153606,4988,4988
1530154087,4985,4985
1530154816,4985,4985
1530155529,4988,4988
1530156004,4982,4982
1530156485,4985,4985
1530156964,4986,4986
1530157446,4984,4984
1530157924,4985,4985
1530158427,4988,4988
1530158884,4986,4986
1530159368,4988,4988
1530159845,4983,4983
1530160333,4990,4990
1530160804,4988,4988
1530161286,4987,4987
1530161767,4989,4989
1530162246,4985,4985
1530162726,4982,4982
1530163207,4983,4983
1530163687,4981,4981
1530164165,4981,4981
1530164645,4982,4982
1530165126,4986,4986
1530165613,4983,4983
1530166087,4987,4987
1530166564,4983,4983
1530167046,4984,4984
1530167528,4985,4985
1530168005,4985,4985
1530168484,4986,4986
1530168966,4984,4984
1530169445,4985,4985
1530169936,4987,4987
1530170405,4990,4990
1530170885,4988,4988
1530171364,4988,4988
1530171846,4988,4988
1530172324,4989,4989
1530172822,4987,4987
1530173286,4982,4982
1530173769,4984,4984
1530174246,4988,4988
1530174730,4989,4989
1530179766,4987,4987
1530180246,4989,4989
1530208568,4988,4988
1530209051,4989,4989
1530222244,4988,4988
1530222729,4989,4989
1530234969,4985,4985
1530236414,4981,4981
1530237368,4990,4990
1530238087,4987,4987
1530238810,4984,4984
1530240007,4985,4985
1530241228,4986,4986
1530242410,4985,4985
1530242884,4986,4986
1530244089,4980,4980
1530244565,4979,4979
1530245049,4979,4979
1530245525,4978,4978
1530246005,4979,4979
1530246485,4979,4979
1530246966,4977,4977
1530247959,4976,4976
1530248410,4979,4979
1530248889,4976,4976
1530249364,4976,4976
1530249845,4975,4975
1530250326,4973,4973
1530250806,4974,4974
1530251287,4973,4973
1530251765,4974,4974
1530252247,4971,4971
1530252969,4974,4974
1530253444,4978,4978
1530254168,4974,4974
1530254648,4980,4980
1530255125,4976,4976
1530255615,4980,4980
1530256090,4979,4979
1530256564,4980,4980
1530257045,4982,4982
1530257534,4980,4980
1530258004,4980,4980
1530258484,4979,4979
1530258966,4978,4978
1530259447,4975,4975
1530259927,4976,4976
1530260409,4979,4979
1530261129,4979,4979
1530261605,4980,4980
1530305286,4979,4979
1530305765,4980,4980
1530312004,4979,4979
1530312485,4980,4980
1530320646,4978,4978
1530321125,4975,4975
1530321608,4975,4975
1530322086,4975,4975
1530322565,4974,4974
1530323046,4973,4973
1530323525,4976,4976
1530324010,4977,4977
1530324487,4979,4979
1530324967,4978,4978
1530325444,4978,4978
1530325928,4978,4978
1530326405,4980,4980
1530326885,4982,4982
1530327612,4981,4981
1530328089,4983,4983
1530328566,4985,4985
