DateTime,AddedIPs,RemovedIPs
1530075123,3,7
1530075722,3,0
1530076322,5,7
1530076921,1,9
1530077522,2,11
1530078122,36,0
1530078722,12,0
1530079321,3,9
1530079922,5,0
1530080523,3,0
1530081721,3,20
1530082321,6,5
1530082921,3,0
1530083521,7,3
1530084121,2,0
1530084721,10,0
1530085322,2,0
1530085921,14,0
1530086522,5,0
1530087122,0,3
1530087722,12,0
1530088922,4,6
1530090121,3,1
1530091321,6,4
1530092523,36,8
1530093121,15,0
1530093722,13,6
1530094321,10,0
1530094922,14,6
1530095521,17,0
1530096122,3,3
1530096722,5,3
1530097322,14,1
1530097922,3,0
1530098521,2,0
1530099122,2,6
1530099722,5,23
1530100921,2,1
1530101522,5,2
1530102123,9,3
1530103322,3,37
1530104522,17,32
1530105722,2,7
1530106921,4,2
1530108122,2,0
1530109323,5,1
1530111722,5,4
1530112322,1,12
1530112922,4,18
1530114121,3,0
1530115322,1,1
1530116522,4,29
1530117123,10,22
1530117722,13,1
1530118922,4,4
1530120122,12,6
1530120721,3,18
1530121322,3,5
1530121922,1,0
1530122522,4,0
1530123122,17,2
1530123721,21,0
1530124922,5,4
1530126121,6,8
1530127321,16,2
1530127922,6,0
1530128522,37,3
1530130321,5,19
1530130922,12,1
1530132122,9,1
1530133321,3,0
1530133922,1,7
1530134521,3,19
1530135121,12,0
1530135721,4,0
1530136923,4,3
1530137521,7,0
1530138121,2,18
1530138721,3,0
1530139922,5,23
1530140522,2,1
1530141721,3,4
1530142322,4,0
1530142921,1,0
1530143522,2,0
1530144123,5,0
1530144722,1,1
1530145322,4,3
1530146522,4,12
1530148922,3,3
1530150121,2,0
1530150722,11,0
1530151322,27,0
1530151922,19,0
1530152522,2,1
1530153121,9,0
1530153722,2,0
1530154975,4,0
1530155761,10,8
1530156121,9,0
1530157321,3,21
1530157922,4,2
1530158536,11,0
1530159122,1,2
1530159722,20,0
1530160922,7,33
1530162122,10,4
1530163321,15,32
1530164522,0,3
1530165722,7,28
1530166922,13,10
1530167522,18,0
1530168193,7,8
1530168722,5,3
1530169322,3,0
1530169922,4,13
1530170521,6,0
1530171722,13,7
1530172322,6,0
1530172922,0,9
1530173522,12,0
1530174122,21,0
1530174722,0,12
1530175322,8,0
1530175921,1,5
1530176521,0,3
1530177722,17,2
1530178321,1,0
1530178921,1,0
1530180122,6,20
1530180723,0,5
1530181321,3,27
1530181922,3,14
1530182521,1,13
1530183722,4,27
1530184922,3,5
1530186122,12,6
1530187321,3,14
1530187922,1,1
1530188521,0,14
1530189122,1,0
1530189721,7,0
1530190321,1,7
1530190921,3,3
1530191522,2,0
1530192122,1,0
1530192721,1,0
1530193322,2,0
1530194522,2,3
1530195121,0,1
1530196922,0,5
1530198122,1,43
1530198722,2,2
1530199322,0,6
1530200522,1,3
1530201721,7,0
1530202922,2,1
1530203522,23,6
1530204122,5,0
1530204722,2,7
1530205321,2,0
1530205921,22,3
1530206521,4,2
1530207121,2,0
1530208922,3,8
1530209521,5,0
1530210121,2,36
1530211322,5,0
1530211921,1,2
1530213721,2,29
1530214322,1,4
1530214921,2,3
1530215521,1,0
1530217922,1,12
1530219721,0,36
1530221523,1,10
1530222122,1,5
1530223321,3,4
1530223922,9,13
1530224522,3,1
1530225722,2,20
1530226322,3,8
1530228122,8,0
1530229322,0,15
1530230522,11,11
1530231722,14,1
1530232322,9,1
1530233521,6,19
1530234722,3,0
1530235923,4,2
1530237122,3,4
1530237721,6,18
1530238321,9,8
1530239522,2,44
1530240721,6,1
1530241923,10,7
1530242522,16,0
1530243722,1,6
1530244322,4,6
1530244922,3,0
1530246122,3,0
1530247922,5,2
1530248523,1,0
1530249722,5,8
1530250922,2,0
1530252122,3,0
1530252721,4,0
1530253322,8,0
1530253921,3,56
1530254522,9,5
1530255122,5,0
1530255722,15,2
1530258122,0,2
1530259322,3,36
1530260522,3,0
1530261721,1,11
1530262922,11,0
1530264121,4,1
1530265322,1,38
1530266522,4,2
1530267721,4,1
1530268922,18,16
1530269521,11,4
1530270122,1,10
1530271322,3,6
1530272522,0,38
1530273122,11,0
1530273722,2,0
1530274322,5,9
1530274921,3,1
1530275521,1,4
1530276722,3,3
1530277321,27,2
1530277922,1,2
1530278522,22,2
1530279722,5,2
1530280921,11,12
1530282121,15,5
1530283322,0,3
1530283922,5,1
1530285122,3,1
1530286322,3,10
1530286922,5,2
1530287522,12,0
1530288121,2,4
1530289322,7,0
1530290522,4,4
1530291723,3,0
1530292322,7,0
1530292922,2,20
1530293522,3,0
1530294122,0,5
1530294722,14,0
1530295321,2,0
1530296521,5,11
1530297722,4,1
1530298321,3,0
1530298922,15,5
1530299521,6,0
1530300122,2,1
1530300722,5,3
1530301321,5,0
1530302522,6,1
1530303722,13,0
1530304922,3,19
1530306122,1,2
1530307321,7,0
1530308522,6,2
1530309122,2,1
1530309721,3,21
1530310322,10,24
1530310921,36,0
1530312122,8,1
1530313321,4,15
1530313922,4,0
1530314522,4,0
1530315122,1,0
1530315722,5,0
1530316322,1,0
1530316922,7,0
1530318123,4,23
1530319322,1,2
1530320521,5,4
1530321121,2,0
1530321722,0,9
1530322921,2,3
1530324122,1,7
1530324722,22,0
1530325321,2,17
1530326522,2,1
1530327721,5,32
1530328921,2,3
1530330122,7,0
1530330722,7,5
1530331326,3,0
1530331922,4,2
1530332521,5,0
1530333121,19,4
1530333722,7,0
1530334921,9,7
1530336122,1,3
1530336722,7,0
1530337322,2,1
1530338522,4,2
1530339721,1,0
1530340922,10,4
1530342122,8,23
1530342722,5,30
1530343322,14,0
1530343922,5,0
1530344522,1,0
1530345721,6,0
1530346321,1,4
1530346921,5,0
1530348122,8,1
1530348722,40,0
1530349322,1,0
1530349921,12,4
1530350522,1,6
1530351722,2,0
1530352921,1,0
1530353522,1,1
1530354122,7,1
1530355322,1,3
1530356523,4,33
1530357121,2,0
1530357722,1,0
1530358921,2,1
1530360122,0,15
1530360721,6,0
1530361322,1,7
1530361922,7,1
1530362522,1,0
1530363722,2,3
1530364322,6,2
1530364922,33,13
1530365522,1,0
1530366122,9,2
1530367322,6,0
1530368521,3,8
1530369721,2,35
1530370922,3,1
1530372122,26,0
1530373322,13,4
1530374521,15,62
1530375722,7,14
1530377522,1,1
1530378122,1,0
1530379322,12,5
1530380522,4,11
1530381722,1,17
1530382922,9,0
1530384122,3,8
1530385322,6,5
1530386522,1,5
1530387722,0,2
1530388922,2,7
1530390122,5,8
1530391322,5,0
1530392521,1,4
1530393122,0,1
1530393722,8,3
1530394922,2,5
1530396122,3,2
1530397321,8,71
1530398521,4,2
1530400922,0,11
1530402122,6,2
1530402722,4,0
1530403922,7,1
1530405121,1,2
1530405722,3,0
1530406921,4,5
1530407523,4,1
1530408722,5,1
1530409322,8,1
1530411121,4,5
1530411721,7,4
1530412923,26,19
1530414722,19,2
1530415321,3,0
1530416522,0,14
1530417721,1,28
1530418921,3,3
1530420122,3,57
1530422521,1,3
1530423121,7,1
1530423721,5,6
1530424321,3,1
1530424921,3,0
1530426122,0,1
1530426722,16,1
1530427322,7,6
1530428522,3,3
1530429122,4,0
1530429721,5,0
1530430322,24,5
1530430922,2,19
1530431521,5,0
1530432122,1,8
1530433321,0,5
1530434522,1,6
1530435721,19,45
1530436322,4,6
1530436922,2,0
1530438122,12,8
1530439321,4,0
1530440522,3,20
1530441721,6,0
1530442923,4,7
1530443521,5,0
1530444122,1,1
1530445922,3,0
1530446521,1,0
1530447722,17,10
1530448921,0,35
1530450722,2,12
1530451322,0,5
1530451922,2,10
1530453121,2,1
1530453722,2,0
1530454921,3,1
1530455522,22,6
1530456122,3,1
1530457322,8,0
1530457921,0,3
1530458521,5,14
1530460321,7,1
1530460922,2,0
1530462121,1,26
1530463322,3,14
1530464522,0,2
1530465121,2,5
1530465722,2,0
1530466921,6,20
1530468122,1,7
1530469322,5,2
1530469922,2,15
1530470522,10,0
1530471722,10,5
1530472321,11,0
1530472921,12,9
1530473522,2,0
1530474122,14,0
1530474722,6,2
1530475322,6,2
1530475922,11,0
1530476522,7,0
1530477121,0,9
1530478321,9,3
1530478921,2,0
1530479521,4,1
1530480122,7,0
1530481322,0,1
1530482521,6,6
1530483722,3,0
1530484921,7,4
1530486122,2,4
1530487322,2,0
1530487922,1,1
1530488521,3,0
1530489722,2,4
1530490923,2,4
1530492122,1,2
1530493321,0,5
1530494521,2,7
1530495721,3,0
1530496923,2,8
1530498122,2,8
1530498722,5,0
1530499321,5,0
1530500521,3,40
1530501121,1,0
1530501721,14,22
1530502921,11,12
1530503523,3,0
1530504721,0,4
1530505321,10,0
1530507722,1,0
1530508922,9,0
1530509521,1,0
1530510122,1,1
1530510722,5,0
1530511322,2,0
1530512522,0,3
1530513722,0,10
1530514922,0,28
1530515521,26,2
1530516123,1,0
1530516722,2,1
1530517322,19,29
1530518522,1,19
1530519722,7,2
1530520922,14,2
1530521522,7,0
1530522121,1,21
1530522722,1,0
1530523321,7,18
1530524521,4,11
1530525722,13,0
