DateTime,AddedIPs,RemovedIPs
1530094922,80,80
1530095521,80,80
1530096122,80,80
1530096722,80,80
1530097322,80,80
1530097922,80,80
1530098521,65,65
1530099122,52,52
1530099722,73,73
1530100921,69,69
1530101522,80,80
1530102123,80,80
1530103322,80,80
1530104522,72,72
1530105722,75,75
1530106921,22,22
1530108122,31,31
1530109323,70,70
1530110522,80,80
1530111722,77,77
1530112322,80,80
1530112922,80,80
1530114121,80,80
1530115322,79,79
1530116522,78,78
1530117123,79,79
1530117722,80,80
1530118922,80,80
1530120122,80,80
1530120721,80,80
1530121322,80,80
1530121922,76,76
1530122522,79,79
1530123122,80,80
1530123721,80,80
1530124922,80,80
1530126121,80,80
1530127321,80,80
1530127922,60,60
1530128522,80,80
1530130321,68,68
1530130922,76,76
1530132122,76,76
1530133321,80,80
1530133922,80,80
1530134521,80,80
1530135121,80,80
1530135721,79,79
1530136923,73,73
1530137521,77,77
1530138121,80,80
1530138721,80,80
1530139922,80,80
1530140522,80,80
1530141721,80,80
1530142322,80,80
1530142921,79,79
1530143522,76,76
1530144123,76,76
1530144722,78,78
1530145322,80,80
1530146522,79,79
1530147721,80,80
1530148922,79,79
1530150121,80,80
1530150722,80,80
1530151322,80,80
1530151922,80,80
1530152522,80,80
1530153121,80,80
1530153722,80,80
1530154975,66,66
1530155761,76,76
1530156121,80,80
1530157321,29,29
1530157922,80,80
1530158536,80,80
1530159122,80,80
1530159722,80,80
1530160922,74,74
1530162122,74,74
1530163321,71,71
1530164522,80,80
1530165722,65,65
1530166922,80,80
1530167147,80,80
1530167522,80,80
1530168193,80,80
1530168722,80,80
1530169322,38,38
1530169922,75,75
1530170521,80,80
1530171722,75,75
1530172322,80,80
1530172922,80,80
1530173522,80,80
1530174122,73,73
1530174722,80,80
1530175322,79,79
1530175921,80,80
1530176521,5,5
1530177722,80,80
1530178321,80,80
1530178921,80,80
1530180122,80,80
1530180723,77,77
1530181321,80,80
1530181922,80,80
1530182521,70,70
1530183722,80,80
1530184922,80,80
1530186122,79,79
1530187321,80,80
1530187922,69,69
1530188521,80,80
1530189122,80,80
1530189721,80,80
1530190321,80,80
1530190921,62,62
1530191522,76,76
1530192122,75,75
1530192721,80,80
1530193322,76,76
1530194522,58,58
1530195121,80,80
1530195721,78,78
1530196922,65,65
1530198122,77,77
1530198722,70,70
1530199322,79,79
1530199922,80,80
1530200522,80,80
1530201721,76,76
1530202922,80,80
1530203522,80,80
1530204122,80,80
1530204722,52,52
1530205321,79,79
1530205921,80,80
1530206521,80,80
1530207121,80,80
1530207721,80,80
1530208922,77,77
1530209521,68,68
1530210121,79,79
1530211322,58,58
1530211921,79,79
1530212521,79,79
1530213721,75,75
1530214322,76,76
1530214921,72,72
1530215521,77,77
1530217322,80,80
1530217922,79,79
1530218522,79,79
1530219721,69,69
1530221523,78,78
1530222122,80,80
1530222721,80,80
1530223321,80,80
1530223922,80,80
1530224522,80,80
1530225722,36,36
1530226322,80,80
1530226922,80,80
1530228122,67,67
1530229322,79,79
1530230522,76,76
1530231722,80,80
1530232322,73,73
1530233521,79,79
1530234722,75,75
1530235923,78,78
1530237122,76,76
1530237721,80,80
1530238321,80,80
1530239522,79,79
1530240721,71,71
1530241923,79,79
1530242522,76,76
1530243722,80,80
1530244322,80,80
1530244922,80,80
1530245522,75,75
1530246122,77,77
1530247922,80,80
1530248523,80,80
1530249722,73,73
1530250922,71,71
1530252122,72,72
1530252721,79,79
1530253322,69,69
1530253921,80,80
1530254522,80,80
1530255122,80,80
1530255722,80,80
1530256922,79,79
1530258122,79,79
1530259322,74,74
1530260522,80,80
1530261721,80,80
1530262922,77,77
1530264121,79,79
1530265322,80,80
1530266522,35,35
1530267721,79,79
1530268922,73,73
1530269521,80,80
1530270122,80,80
1530271322,54,54
1530272522,34,34
1530273122,80,80
1530273722,78,78
1530274322,80,80
1530274921,80,80
1530275521,80,80
1530276122,79,79
1530276722,78,78
1530277321,80,80
1530277922,80,80
1530278522,80,80
1530279722,66,66
1530280921,76,76
1530282121,74,74
1530283322,29,29
1530283922,80,80
1530284522,80,80
1530285122,80,80
1530286322,56,56
1530286922,80,80
1530287522,80,80
1530288121,80,80
1530289322,80,80
1530290522,80,80
1530291723,48,48
1530292322,80,80
1530292922,80,80
1530293522,80,80
1530294122,80,80
1530294722,80,80
1530295321,64,64
1530296521,70,70
1530297722,74,74
1530298321,80,80
1530298922,80,80
1530299521,80,80
1530300122,70,70
1530300722,70,70
1530301321,80,80
1530302522,65,65
1530303722,74,74
1530304922,67,67
1530306122,77,77
1530307321,78,78
1530308522,75,75
1530309122,80,80
1530309721,76,76
1530310322,80,80
1530310921,80,80
1530312122,80,80
1530313321,50,50
1530313922,80,80
1530314522,78,78
1530315122,80,80
1530315722,80,80
1530316322,80,80
1530316922,80,80
1530318123,73,73
1530319322,53,53
1530320521,72,72
1530321121,80,80
1530321722,80,80
1530322921,29,29
1530323522,73,73
1530324122,80,80
1530324722,80,80
1530325321,78,78
1530325922,25,25
1530326522,76,76
1530327721,42,42
1530328921,35,35
1530330122,65,65
1530330722,80,80
1530331326,80,80
1530331922,79,79
1530332521,80,80
1530333121,80,80
1530333722,80,80
1530334921,80,80
1530336122,48,48
1530336722,80,80
1530337322,80,80
1530338522,80,80
1530339721,78,78
1530340922,73,73
1530342122,79,79
1530342722,74,74
1530343322,80,80
1530343922,78,78
1530344522,80,80
1530345721,76,76
1530346321,80,80
1530346921,79,79
1530348122,77,77
1530348722,80,80
1530349322,80,80
1530349921,80,80
1530350522,80,80
1530351722,78,78
1530352921,33,33
1530353522,80,80
1530354122,80,80
1530355322,26,26
1530355922,80,80
1530356523,80,80
1530357121,80,80
1530357722,18,18
1530358921,74,74
1530360122,20,20
1530360721,80,80
1530361322,80,80
1530361922,80,80
1530362522,80,80
1530363722,69,69
1530364322,80,80
1530364922,80,80
1530365522,80,80
1530366122,80,80
1530367322,39,39
1530368521,80,80
1530369721,79,79
1530370922,78,78
1530372122,80,80
1530373322,73,73
1530374521,58,58
1530375722,75,75
1530376922,80,80
1530377522,80,80
1530378122,80,80
1530379322,77,77
1530380522,80,80
1530381722,80,80
1530382922,67,67
1530384122,78,78
1530385322,70,70
1530386522,26,26
1530387722,66,66
1530388922,78,78
1530390122,79,79
1530391322,75,75
1530392521,70,70
1530393122,75,75
1530393722,74,74
1530394922,64,64
1530396122,61,61
1530397321,75,75
1530398521,74,74
1530400922,76,76
1530402122,80,80
1530402722,60,60
1530403922,73,73
1530405121,33,33
1530405722,72,72
1530406921,76,76
1530407523,80,80
1530408722,79,79
1530409322,53,53
1530411121,80,80
1530411721,70,70
1530412923,79,79
1530414722,80,80
1530415321,77,77
1530416522,75,75
1530417721,75,75
1530418921,76,76
1530420122,75,75
1530421322,23,23
1530422521,67,67
1530423121,80,80
