DateTime,AddedIPs,RemovedIPs
1530014521,0,2
1530016322,2,1
1530016922,0,4
1530018122,1,4
1530019921,0,2
1530021722,0,2
1530022922,0,5
1530023522,0,2
1530024122,3,1
1530025321,1,8
1530026521,1,0
1530027722,1,2
1530028922,1,0
1530029521,0,4
1530031322,1,1
1530032521,7,4
1530033721,1,0
1530034922,1,0
1530036122,1,8
1530037321,0,3
1530038521,0,4
1530039722,1,0
1530040322,2,3
1530040921,1,0
1530042122,4,8
1530043322,0,1
1530044522,1,0
1530045722,0,5
1530046922,4,0
1530047522,8,0
1530048122,2,0
1530049922,1,1
1530050522,0,2
1530054121,0,3
1530055321,0,5
1530056521,6,7
1530057722,3,5
1530058922,0,1
1530060121,3,5
1530061321,0,1
1530062521,0,5
1530063724,2,3
1530064921,4,1
1530066122,1,0
1530066721,3,0
1530067322,1,0
1530069722,3,0
1530070322,8,0
1530072121,2,0
1530073322,0,1
1530075722,5,3
1530076921,4,1
1530078121,0,1
1530079321,0,2
1530080523,2,1
1530081721,2,0
1530082921,0,1
1530086522,5,3
1530087122,10,3
1530087722,1,0
1530088922,3,3
1530090121,1,1
1530092523,4,2
1530093121,18,0
1530093722,17,2
1530096122,0,2
1530096722,1,0
1530097322,6,0
1530098521,2,1
1530100321,1,0
1530102123,3,4
1530102721,1,0
1530103322,3,0
1530104522,4,0
1530105122,1,0
1530105722,1,0
1530107522,0,1
1530109322,8,12
1530111721,0,3
1530112922,0,5
1530113521,0,6
1530114121,0,8
1530115322,1,0
1530116522,11,3
1530117722,2,5
1530118922,7,4
1530120122,2,4
1530120721,0,1
1530123721,6,0
1530124922,0,3
1530126121,3,0
1530127321,0,4
1530130321,7,6
1530130922,1,1
1530133321,4,0
1530134521,0,3
1530136923,2,7
1530137521,4,1
1530138121,1,0
1530139322,5,2
1530141721,0,3
1530142921,0,6
1530144123,1,0
1530144722,3,2
1530145322,2,2
1530146522,0,1
1530147721,2,1
1530148922,0,3
1530150121,11,9
1530151322,3,0
1530152522,3,2
1530154975,0,6
1530155522,9,4
1530156121,6,0
1530157321,3,2
1530157893,2,1
1530159122,0,2
1530159722,1,4
1530160322,1,0
1530161522,8,0
1530162122,10,0
1530163321,3,0
1530163921,2,1
1530165121,0,5
1530165722,0,5
1530166922,2,2
1530167147,1,0
1530167522,1,0
1530168193,14,0
1530168721,20,1
1530170521,1,10
1530171721,1,3
1530172922,4,6
1530173522,9,0
1530174122,1,0
1530174722,8,0
1530176521,1,1
1530177722,1,2
1530180122,12,1
1530181321,10,6
1530183722,43,3
1530184321,12,6
1530184921,18,0
1530186122,1,0
1530187321,3,6
1530187922,1,0
1530188521,1,2
1530189721,16,9
1530190321,15,0
1530190921,2,0
1530191522,12,0
1530192122,3,2
1530193322,2,0
1530194522,1,0
1530195121,0,1
1530196321,0,1
1530196922,4,0
1530197521,8,0
1530198722,0,4
1530200522,1,0
1530201121,0,2
1530201721,1,0
1530204722,0,1
1530205321,2,1
1530205921,3,0
1530206521,0,2
1530207721,4,1
1530208321,2,1
1530209521,0,3
1530210121,1,0
1530212521,1,0
1530213721,11,1
1530214322,1,0
1530214921,2,6
1530215521,1,0
1530217322,20,2
1530217922,1,0
1530218522,3,0
1530219721,1,0
1530220922,0,1
1530221523,4,1
1530222122,5,0
1530223321,3,1
1530224522,4,13
1530225721,6,0
1530226322,2,0
1530228122,1,0
1530229322,0,6
1530230522,4,9
1530231722,7,2
1530232322,2,0
1530233521,4,0
1530234722,0,1
1530235923,5,2
1530237122,11,0
1530237721,1,0
1530238321,0,1
1530239522,1,2
1530240721,2,0
1530242522,2,0
1530243722,33,1
1530244322,4,0
1530244922,2,0
1530246122,1,0
1530246722,3,0
1530247922,2,2
1530248523,5,0
1530249122,5,1
1530249722,0,6
1530250922,4,0
1530252121,1,0
1530252721,0,7
1530253921,0,1
1530254522,0,1
1530255722,5,0
1530256922,6,0
1530258122,1,1
1530259322,2,1
1530260522,0,4
1530261721,4,0
1530262922,4,1
1530264121,1,1
1530265322,0,1
1530266522,0,8
1530267721,4,0
1530268922,0,6
1530270122,2,2
1530271322,11,0
1530272522,2,3
1530273122,2,0
1530273722,1,0
1530274322,0,5
1530276122,17,4
1530277321,16,0
1530277922,1,2
1530278522,3,0
1530279121,3,1
1530280921,3,1
1530282721,1,3
1530283322,1,0
1530284522,28,2
1530286322,2,5
1530286922,11,0
1530288121,5,0
1530289322,2,0
1530290522,3,0
1530291723,0,1
1530292922,32,0
1530294122,18,1
1530294722,19,0
1530295321,21,3
1530296521,19,3
1530298321,9,0
1530298922,5,0
1530300122,2,0
1530300722,5,0
1530301321,12,0
1530302522,15,0
1530303721,15,2
1530304922,5,2
1530305522,2,0
1530306122,1,0
1530308522,2,2
1530309721,48,0
1530310321,9,1
1530310921,7,0
1530311521,3,2
1530313321,5,4
1530315722,1,5
1530316922,2,3
1530318123,0,5
1530319322,63,0
1530320521,57,1
1530321722,18,3
1530322322,3,2
1530322921,22,1
1530324122,7,0
1530324722,13,4
1530325321,9,1
1530325921,8,2
1530326522,8,0
1530327122,1,1
1530327721,0,7
1530328921,2,0
1530330122,5,0
1530330722,10,5
1530331326,12,0
1530332521,9,2
1530333722,6,5
1530334921,2,0
1530335522,1,0
1530336122,4,2
1530336722,14,0
1530337322,7,2
1530338521,2,1
1530339721,4,16
1530340922,1,0
1530342122,2,0
1530342722,7,0
1530343322,14,1
1530344522,2,1
1530345121,0,5
