DateTime,AddedIPs,RemovedIPs
1530096722,4,4
1530097322,7,7
1530097922,2,2
1530098521,4,4
1530099722,3,3
1530100321,3,3
1530100921,2,2
1530101522,3,3
1530102123,6,6
1530102721,6,6
1530103322,3,3
1530104522,20,20
1530105122,3,3
1530105722,8,8
1530106921,5,5
1530107522,2,2
1530108122,4,4
1530109322,9,9
1530110522,2,2
1530111721,5,5
1530112922,2,2
1530113521,2,2
1530114121,1,1
1530115322,6,6
1530116522,16,16
1530117722,7,7
1530118922,17,17
1530120122,4,4
1530120721,1,1
1530121322,3,3
1530122522,6,6
1530123721,10,10
1530124322,2,2
1530124922,2,2
1530126121,9,9
1530127321,6,6
1530127922,1,1
1530130321,18,18
1530130922,4,4
1530132121,13,13
1530133321,10,10
1530133922,8,8
1530134521,3,3
1530135121,3,3
1530135721,1,1
1530136923,4,4
1530137521,10,10
1530138121,7,7
1530139322,10,10
1530139922,1,1
1530140522,1,1
1530141721,3,3
1530142921,1,1
1530143522,2,2
1530144123,5,5
1530144722,8,8
1530145322,5,5
1530146522,1,1
1530147721,11,11
1530148922,5,5
1530150121,27,27
1530151322,12,12
1530152522,9,9
1530153722,6,6
1530154975,10,10
1530155522,20,20
1530156121,10,10
1530157321,7,7
1530157893,11,11
1530158536,9,9
1530159122,3,3
1530159722,5,5
1530160322,4,4
1530160922,3,3
1530161522,8,8
1530162122,14,14
1530163321,7,7
1530163921,2,2
1530164522,4,4
1530165121,3,3
1530165722,2,2
1530166922,5,5
1530167147,1,1
1530167522,3,3
1530168193,20,20
1530168721,26,26
1530169322,2,2
1530170521,9,9
1530171721,3,3
1530172922,12,12
1530173522,12,12
1530174122,4,4
1530174722,14,14
1530175322,1,1
1530176521,10,10
1530177722,9,9
1530178921,13,13
1530180122,16,16
1530181321,18,18
1530182521,3,3
1530183722,51,51
1530184321,24,24
1530184921,34,34
1530185522,4,4
1530186122,10,10
1530187321,23,23
1530187922,6,6
1530188521,9,9
1530189721,32,32
1530190321,23,23
1530190921,12,12
1530191522,25,25
1530192122,22,22
1530193322,26,26
1530194522,20,20
1530195121,6,6
1530195721,7,7
1530196321,6,6
1530196922,10,10
1530197521,13,13
1530198122,1,1
1530198722,1,1
1530199322,6,6
1530200522,7,7
1530201121,8,8
1530201721,3,3
1530202922,9,9
1530204122,7,7
1530204722,10,10
1530205321,16,16
1530205921,9,9
1530206521,10,10
1530207121,5,5
1530207721,13,13
1530208321,5,5
1530208922,2,2
1530209521,5,5
1530210121,4,4
1530211322,5,5
1530211921,4,4
1530212521,4,4
1530213721,15,15
1530214322,11,11
1530214921,6,6
1530215521,2,2
1530217322,35,35
1530217922,4,4
1530218522,17,17
1530219721,17,17
1530220922,9,9
1530221523,15,15
1530222122,12,12
1530223321,8,8
1530223922,1,1
1530224522,8,8
1530225721,13,13
1530226322,8,8
1530226922,3,3
1530227522,9,9
1530228122,2,2
1530229322,4,4
1530230522,13,13
1530231722,11,11
1530232322,6,6
1530233521,12,12
1530234722,4,4
1530235923,12,12
1530237122,23,23
1530237721,2,2
1530238321,2,2
1530239522,13,13
1530240721,16,16
1530241923,5,5
