DateTime,AddedIPs,RemovedIPs
1528723802,162,0
1528727402,116,0
1528731002,126,0
1528734601,119,0
1528738202,91,0
1528741802,108,0
1528745402,469,0
1528749002,301,0
1528752601,217,0
1528756202,652,0
1528759802,165,0
1528763402,112,2621
1528767002,112,0
1528770601,106,0
1528774201,123,0
1528777802,91,0
1528781401,103,0
1528785002,143,0
1528788602,296,0
1528792201,141,0
1528795802,105,0
1528799402,170,0
1528803002,166,0
1528806602,226,0
1528810202,176,0
1528813802,206,0
1528817401,215,0
1528821002,118,0
1528824602,98,0
1528828202,101,0
1528831802,138,0
1528835401,104,0
1528839002,104,0
1528842602,132,0
1528846202,94,0
1528849802,86,4056
1528853402,103,0
1528857002,122,0
1528860602,87,0
1528864202,99,0
1528867802,87,0
1528871402,133,0
1528875002,125,0
1528878602,139,0
1528882202,135,0
1528885802,159,0
1528889401,155,0
1528893002,134,0
1528896602,133,0
1528900202,115,0
1528903802,144,0
1528907402,130,0
1528911002,141,0
1528914602,148,0
1528919102,125,0
1528922702,88,0
1528926301,87,0
1528929901,101,0
1528933502,83,0
1528937101,76,3584
1528940702,104,0
1528944301,107,0
1528947901,114,0
1528951502,101,0
1528955102,134,0
1528958702,250,0
1528962302,223,0
1528965902,102,0
1528969502,180,0
1528973102,188,0
1528976702,203,0
1528980302,129,0
1528983902,84,0
1528987502,70,0
1528991101,70,0
1528994702,92,0
1528998302,130,0
1529001902,155,0
1529005502,85,0
1529009102,177,0
1529012701,115,2
1529017202,112,0
1529020802,91,2925
1529024402,134,0
1529028002,106,0
1529031602,90,0
1529035202,130,0
1529038802,115,0
1529042402,169,0
1529046001,141,0
1529049602,125,0
1529053202,157,0
1529056802,128,0
1529060402,94,0
1529064002,109,0
1529067602,95,0
1529071202,95,0
1529074802,82,0
1529078402,116,0
1529082002,90,0
1529085602,90,0
1529089202,103,0
1529092802,106,0
1529096402,107,0
1529100002,95,0
1529103601,87,0
1529107202,80,3118
1529110802,94,0
1529114403,102,0
1529118002,92,0
1529121602,95,0
1529125202,98,0
1529128802,110,0
1529132402,95,0
1529136002,101,0
1529139602,88,0
1529143202,108,0
1529146802,105,0
1529150402,84,0
1529154002,64,0
1529157602,63,0
1529161202,73,0
1529164802,53,0
1529168402,67,0
1529172002,72,0
1529175602,88,0
1529179202,83,0
1529182802,81,0
1529186402,70,0
1529190003,71,0
1529193602,69,2776
1529197202,446,0
1529200802,333,0
1529204402,229,0
1529208002,121,0
1529211602,116,0
1529215202,107,0
1529218802,99,0
1529222402,93,0
1529226002,86,0
1529229602,71,0
1529233202,150,0
1529236801,130,0
1529240402,131,0
1529244002,91,0
1529247602,101,0
1529251202,89,0
1529254802,88,0
1529258402,94,0
1529262002,92,0
1529265602,154,0
1529269202,87,0
1529272802,79,0
1529276401,73,0
1529280002,70,2071
1529283601,120,0
1529287202,90,0
1529290802,87,0
1529294402,87,0
1529298002,110,0
1529301602,91,0
1529305202,105,0
1529308802,116,0
1529312402,164,0
1529316002,159,0
1529319602,99,0
1529323202,93,0
1529326802,95,0
1529330402,114,0
1529334002,118,0
1529337602,129,0
1529341203,103,0
1529344803,168,0
1529348402,205,0
1529352003,101,0
1529355602,99,0
1529359202,121,0
1529362802,105,0
1529366402,98,3002
1529370002,108,0
1529373602,107,0
1529377202,122,0
1529380802,126,0
1529384402,116,0
1529388002,137,0
1529391602,148,0
1529395202,198,0
1529398802,127,0
1529402401,117,0
1529406002,120,0
1529409601,120,0
1529413202,166,0
1529416802,120,0
1529420402,190,0
1529424002,134,0
1529427602,103,0
1529431202,114,0
1529434802,94,0
1529438402,86,0
1529442002,90,0
1529445602,80,0
1529449202,80,0
1529452802,76,2626
1529456402,103,0
1529460002,102,0
1529463602,126,0
1529467202,114,0
1529470802,85,0
1529474402,265,0
1529478001,156,0
1529481602,122,0
1529485202,149,0
1529488802,115,0
1529492402,146,0
1529496002,170,0
1529499603,144,0
1529503202,127,0
1529506802,114,0
1529510402,133,0
1529514002,101,0
1529517602,113,0
1529521201,103,0
1529524802,87,0
1529528402,123,0
1529532002,103,0
1529536501,155,0
1529540102,113,2782
1529543702,140,0
1529547302,130,0
1529550902,119,0
1529554502,127,0
1529558102,167,0
1529561702,116,0
1529565302,124,0
1529568902,226,0
1529572501,147,0
1529576102,196,1
1529579702,176,0
1529583301,130,0
1529586902,112,0
1529590501,110,1
1529594102,95,0
1529597702,118,0
1529601302,83,0
1529604902,89,0
1529608502,79,0
1529612102,101,0
1529615702,129,0
1529619302,77,0
1529622901,64,0
1529626502,77,2876
1529630102,81,0
1529633702,103,0
1529637302,113,0
1529640901,97,0
1529644502,101,0
1529648102,124,0
1529651702,131,0
1529655302,127,0
1529658902,127,0
1529662502,123,0
1529666102,155,0
1529669702,148,0
1529673302,117,0
1529676902,142,0
1529680502,100,0
1529684102,99,0
1529687702,94,0
1529691302,68,0
1529694902,81,0
1529698502,108,0
1529702102,94,0
1529705702,79,0
1529709302,97,0
1529712902,89,3040
1529716502,115,0
1529720101,110,0
1529723702,104,0
1529727302,97,0
1529730901,120,0
1529734502,122,0
1529738101,121,0
1529741702,137,0
1529745302,103,0
1529748901,128,0
1529752502,138,0
1529756102,126,0
1529759701,104,0
1529763302,118,0
1529766902,109,0
1529770502,75,0
1529774102,93,0
1529777702,81,0
1529781302,62,0
1529784902,110,0
1529788501,67,0
1529792102,70,0
1529795702,64,0
1529799302,73,2887
1529802902,244,0
1529806502,287,0
1529810101,231,0
1529813701,179,0
1529817302,153,0
1529820902,126,0
1529824502,128,0
1529828101,183,0
1529831701,78,0
1529835302,149,0
1529838902,129,0
1529842501,121,0
1529846102,87,0
1529849702,100,0
1529853301,113,0
1529856902,81,0
1529860502,81,0
1529864102,86,0
1529867701,77,0
1529871302,73,0
1529874902,85,0
1529878502,72,0
1529882102,74,0
1529885702,67,2483
1529889301,93,0
1529892902,96,0
1529896502,135,0
1529900101,108,0
1529903702,90,0
1529907302,264,0
1529910901,241,0
1529914501,226,0
1529918102,116,0
1529921702,148,0
1529925302,107,0
1529928901,181,0
1529932502,249,0
1529936102,137,0
1529939701,140,0
1529943302,136,0
1529946901,86,0
1529950501,102,0
1529954102,78,0
1529958601,98,0
1529962202,85,0
1529965801,95,0
1529969401,192,0
1529973002,76,2979
1529976602,98,0
1529980202,105,0
1529983801,116,0
1529987402,86,0
1529991002,110,0
1529994602,130,0
1529998202,166,0
1530001802,183,0
1530005402,145,0
1530009002,158,0
1530012602,139,0
1530016202,144,0
1530019802,119,0
1530023402,110,0
1530027001,224,0
1530030601,95,0
1530034202,117,0
1530037801,88,0
1530041402,98,0
1530045002,99,0
1530048602,73,0
1530052201,75,0
1530055802,68,0
1530059402,70,3060
1530063002,100,0
1530066601,87,0
1530070202,106,0
1530073802,84,0
1530077402,165,0
1530081001,214,0
1530084602,117,0
1530088202,120,0
1530091801,142,0
1530095402,118,0
1530099002,155,0
1530102602,176,0
1530106202,124,0
1530109802,137,0
1530113402,98,0
1530117001,76,0
1530120601,78,0
1530124202,73,0
1530127802,93,0
1530131402,71,0
1530135002,82,0
1530138602,83,0
1530142201,81,0
1530145801,91,2972
1530149402,116,0
1530153002,94,0
1530156601,121,0
1530160201,94,0
1530163802,114,0
1530167402,149,0
1530171002,170,0
1530174602,159,0
1530178202,145,0
1530181801,152,0
1530185401,146,0
1530189002,132,0
1530192602,134,0
1530196202,147,0
1530199802,111,0
1530203402,89,0
1530207002,113,0
1530210601,82,0
1530214202,76,0
1530217802,75,0
1530221402,125,0
1530225002,91,0
1530228602,63,0
1530232201,82,2639
1530235802,100,0
1530239401,100,0
1530243001,82,0
1530246601,106,0
1530250202,94,0
1530253801,204,0
1530257402,145,0
1530261002,129,0
1530264602,111,0
1530268202,107,0
1530271802,150,0
1530275402,141,0
1530279002,111,0
1530282602,112,0
1530286201,119,0
1530289802,85,0
1530293402,81,0
1530297002,74,0
1530300601,78,0
1530304202,94,0
1530307802,82,0
1530311401,77,0
1530315002,80,0
1530318602,76,2772
1530322202,96,0
1530325801,62,0
1530329401,81,0
1530333002,86,0
1530336602,97,0
1530340202,109,0
1530343801,98,0
1530347402,124,0
1530351002,130,0
1530354602,113,0
1530358202,89,0
1530361802,107,0
1530365402,122,0
1530369002,68,0
1530372602,90,0
1530376202,160,0
1530379802,90,0
1530383402,83,0
1530387001,90,0
1530390602,77,0
1530394202,72,0
1530397802,68,0
1530401402,68,0
1530405001,80,2632
1530408602,168,0
1530412202,192,0
1530415801,205,0
1530419401,200,0
1530423001,186,0
1530426602,151,0
1530430202,153,0
1530433801,139,0
1530437402,132,0
1530441002,95,0
1530444602,118,0
1530448202,98,0
1530451801,93,0
1530455401,100,0
1530459002,100,0
1530462602,120,0
1530466201,116,0
1530469802,98,0
1530473402,118,0
1530477001,82,0
1530480602,113,0
1530484202,96,0
1530487802,78,0
1530491402,77,2275
1530495002,102,0
1530498601,82,0
1530502202,89,0
1530505801,116,0
1530509402,91,0
1530513002,107,0
1530516601,168,0
1530520202,155,0
1530523801,95,0
