DateTime,AddedIPs,RemovedIPs
1528549390,2,1
1528552991,1,0
1528556591,2,4
1528560191,3,3
1528563795,4,2
1528567392,0,1
1528578190,1,2
1528581795,2,4
1528585390,1,2
1528588990,1,2
1528596190,1,0
1528599792,1,3
1528603395,4,6
1528617792,1,3
1528621391,2,1
1528624991,1,2
1528628591,2,0
1528632132,1,1
1528635792,3,1
1528639332,3,1
1528642991,1,1
1528646532,1,1
1528650192,2,2
1528653791,1,0
1528657391,0,1
1528660932,3,1
1528664592,2,1
1528668192,2,0
1528671794,1,1
1528686196,1,2
1528689792,4,3
1528693333,2,2
1528696992,0,2
1528700532,1,0
1528704193,3,3
1528707793,4,1
1528711333,2,1
1528714933,2,1
1528718532,1,0
1528722193,3,0
1528725733,1,1
1528729393,0,3
1528732993,0,2
1528736593,2,1
1528740193,1,2
1528743793,1,1
1528750994,1,4
1528754593,1,2
1528758134,1,0
1528761794,0,1
1528765394,1,3
1528768994,3,5
1528772533,2,2
1528776194,2,4
1528779793,1,2
1528783394,1,5
1528786993,2,4
1528790597,0,2
1528794194,2,3
1528797737,3,3
1528801394,2,0
1528804993,0,1
1528808654,3,2
1528812194,2,1
1528815794,6,0
1528819394,7,1
1528822994,3,3
1528833797,1,1
1528837397,1,0
1528840994,2,1
1528844595,2,4
1528851794,1,0
1528853174,1,2
1528858994,1,0
1528862536,5,4
1528866134,1,1
1528869794,1,2
1528873394,3,3
1528876994,2,1
1528880598,2,2
1528884138,2,2
1528887797,1,1
1528891394,0,2
1528894994,1,3
1528898594,3,3
1528902196,0,2
1528905794,0,1
1528909394,0,1
1528912998,3,0
1528920199,2,3
1528923794,1,0
1528927934,2,1
1528938195,0,3
1528941798,1,1
1528945396,3,3
1528948997,4,5
1528952596,1,3
1528956199,1,1
1528959796,1,0
1528963336,2,2
1528966935,5,3
1528970596,7,1
1528974135,1,0
1528977796,2,4
1528981396,4,3
1528984996,1,2
1528988596,2,2
1528992196,1,3
1528995795,2,1
1528999338,1,0
1529010196,1,1
1529013796,1,2
1529017338,6,2
1529020996,1,1
1529028196,3,2
1529031800,1,3
1529035396,2,3
1529038997,0,2
1529042535,0,1
1529046195,2,1
1529049797,2,2
1529053396,0,2
1529056997,2,1
1529060596,2,2
1529064140,3,1
1529067738,0,1
1529071396,2,3
1529074996,1,2
1529082196,0,3
1529085796,0,1
1529089396,5,1
1529092996,3,1
1529096597,2,2
1529100136,2,0
1529103801,1,0
1529107396,1,1
1529114601,2,3
1529118196,2,2
1529121799,3,5
1529125396,0,2
1529128936,3,2
1529132540,2,0
1529135596,0,2
1529139797,2,2
1529143397,3,3
1529146997,2,2
1529150597,0,3
1529154197,2,4
1529157738,1,0
1529161397,3,1
1529164940,2,1
1529168598,2,2
1529172198,0,1
1529175797,3,5
1529182938,2,1
1529186599,0,1
1529190199,1,1
1529193739,2,1
1529197397,0,1
1529200999,2,1
1529204538,3,3
1529208199,3,3
1529211799,1,1
1529215399,3,2
1529218997,3,1
1529222599,3,1
1529233398,1,2
1529236999,1,1
1529240599,0,1
1529244199,1,2
1529247799,4,4
1529251339,1,0
1529254518,2,1
1529258539,1,1
1529262140,1,1
1529265799,3,4
1529276599,1,4
1529283799,1,1
1529287402,2,2
1529290999,2,2
1529294599,4,5
1529298198,3,0
1529301798,0,3
1529305339,2,1
1529308939,3,1
1529312598,4,1
1529316199,0,1
1529319738,0,1
1529320606,3,0
1529323425,17,0
1529326966,3,0
1529330566,2,1
1529334166,1,1
1529337825,1,3
1529341427,7,1
1529344967,4,2
1529348625,4,4
1529352229,1,3
1529355766,1,1
1529359425,2,1
1529362967,2,2
1529366567,3,1
1529370168,1,0
1529373770,3,2
1529377367,2,3
1529381027,2,2
1529384570,0,1
1529388166,2,2
1529391769,1,4
1529395427,3,0
1529398967,2,4
1529402567,4,0
1529406167,1,2
1529409768,4,8
1529413427,1,2
1529417028,1,1
1529420567,1,3
1529424166,0,1
1529427767,3,1
1529431367,1,2
1529434967,2,2
1529438567,1,4
1529442167,0,2
1529445827,1,1
1529449368,1,1
1529453028,1,1
1529456632,0,4
1529460168,3,1
1529463771,2,2
1529467371,5,3
1529468447,2,2
1529474567,1,6
1529478231,0,1
1529481767,1,0
1529485367,1,2
1529492567,1,4
1529496168,1,2
1529499767,1,0
1529503368,0,4
1529506967,1,5
1529510628,2,3
1529511227,2,2
1529517827,2,7
1529521367,2,1
1529525028,0,1
1529532167,2,0
1529535768,2,2
1529539369,3,0
1529542967,1,4
1529546570,4,4
1529550167,5,7
1529553767,3,2
1529557368,2,2
1529561028,0,2
1529564748,1,2
1529568169,0,1
1529571769,3,3
1529575368,2,2
1529578969,2,2
1529582629,4,2
1529586168,6,1
