DateTime,AddedIPs,RemovedIPs
1528605181,9,10
1528608781,14,12
1528612381,11,13
1528615981,11,11
1528619581,8,6
1528623181,10,11
1528630382,15,17
1528633982,15,12
1528641181,10,11
1528644781,9,9
1528648381,8,8
1528651981,10,10
1528655581,14,16
1528659181,13,12
1528666381,11,10
1528669981,11,9
1528673581,11,13
1528680781,16,16
1528684381,11,11
1528691581,16,17
1528695181,15,14
1528702381,12,11
1528705982,12,14
1528709581,16,16
1528713181,9,7
1528716782,7,10
1528723982,12,11
1528727581,11,12
1528731181,8,10
1528734781,8,9
1528738381,14,13
1528741981,11,10
1528745581,8,6
1528749181,15,17
1528752781,5,4
1528756381,8,7
1528763581,13,13
1528767181,6,7
1528770781,15,16
1528774381,10,11
1528777981,13,13
1528781581,9,8
1528785181,8,8
1528792382,11,10
1528795982,10,8
1528799581,10,12
1528803181,6,5
1528806781,11,14
1528810381,11,10
1528813981,10,9
1528817581,7,6
1528821181,6,6
1528828381,12,14
1528831981,14,14
1528839181,8,10
1528842781,11,7
1528846381,7,10
1528849981,6,3
1528853581,8,11
1528857181,11,9
1528860781,11,13
1528864381,9,9
1528867981,10,9
1528871581,4,5
1528875181,7,9
1528878781,5,4
1528882381,15,12
1528885981,11,11
1528889582,5,6
1528893181,10,10
1528896781,8,8
1528900381,14,12
1528903981,10,8
1528907581,6,7
1528914781,9,12
1528918381,7,6
1528921981,13,12
1528925581,7,11
1528929181,8,7
1528932781,9,8
1528936381,14,13
1528943581,2,3
1528947182,8,8
1528950781,15,14
1528954381,14,12
1528957981,8,11
1528965181,13,13
1528968781,14,14
1528972381,9,9
1528975981,18,16
1528979581,8,9
1528983181,8,7
1528986781,8,9
1528990381,12,10
1528993981,13,12
1528997581,11,13
1529001181,6,7
1529004781,11,9
1529008381,7,9
1529011981,8,9
1529015581,12,12
1529022781,18,16
1529026381,13,12
1529029981,10,10
1529033581,9,8
1529037181,18,19
1529040781,6,6
1529044381,6,7
1529047981,9,7
1529051582,8,12
